 ,Label,Area,Mean,Min,Max,%Area
1,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0349-0768,5118,7.38,0,85,0
2,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0419-0723,2268,0.95,0,50,0
3,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0207-0279,4774,9.80,0,85,0
4,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0100-0413,3933,4.16,0,52,0
5,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0188-0979,2348,8.26,0,85,0
6,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0649-0340,3041,5.45,0,85,0
7,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0680-0659,3680,4.34,0,85,0
8,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0445-0740,845,0.03,0,8,0
9,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0736-0968,2608,3.12,0,26,0
10,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0327-0925,1562,13.24,0,85,0
11,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0285-0961,1608,10.27,0,85,0
12,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0538-0986,4246,3.81,0,85,0
13,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0306-0214,3516,5.04,0,85,0
14,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0295-0307,2798,9.93,0,85,0
15,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0355-0209,3561,3.42,0,71,0
16,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0848-1004,3288,9.21,0,85,0
17,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0801-1217,3599,4.94,0,42,0
18,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0656-0542,1384,6.86,0,85,0
19,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0881-0168,4169,3.75,0,85,0
20,Raw_4T1_2-1_72h_31 - Red Light_0.tif:0608-1215,2120,3.17,0,31,0
