 ,Label,Area,Mean,Min,Max,%Area
1,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0271-0637,2371,0.00,0,0,0
2,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0220-0692,1302,0.00,0,0,0
3,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0155-0733,1467,0.00,0,0,0
4,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0114-0719,1776,1.689E-3,0,3,0
5,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0068-0742,2021,0.01,0,17,0
6,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0085-0800,2395,0.44,0,69,0
7,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0091-0824,2513,0.26,0,60,0
8,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0128-0876,2153,0.08,0,85,0
9,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0179-0870,1059,0.00,0,0,0
10,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0188-0895,1877,0.03,0,26,0
11,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0183-0921,1912,0.13,0,85,0
12,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0245-0973,2075,0.30,0,85,0
13,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0255-0933,1964,0.06,0,31,0
14,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0245-0900,2192,0.02,0,37,0
15,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0281-0897,2878,0.04,0,31,0
16,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0294-0758,2634,0.08,0,85,0
17,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0330-0771,3159,0.08,0,46,0
18,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0403-0815,2591,5.51,0,85,0
19,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0426-0734,1902,3.155E-3,0,6,0
20,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0455-0736,2242,0.02,0,24,0
21,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0468-0780,1442,0.00,0,0,0
22,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0469-0839,2129,0.00,0,0,0
23,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0490-0793,1202,2.24,0,85,0
24,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0593-0811,5466,0.00,0,0,0
25,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0653-0793,5473,5.481E-4,0,3,0
26,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0664-0887,1507,4.645E-3,0,7,0
27,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0531-0209,3137,3.507E-3,0,11,0
28,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0595-0240,5978,4.015E-3,0,20,0
29,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0653-0393,3080,3.247E-4,0,1,0
30,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0714-0410,2026,0.00,0,0,0
31,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0660-0473,2554,0.03,0,43,0
32,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0720-0430,2011,3.481E-3,0,4,0
33,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0731-0468,4158,9.620E-4,0,4,0
34,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0676-0512,1441,0.02,0,13,0
35,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0683-0552,1124,0.13,0,85,0
36,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0601-0535,1970,0.00,0,0,0
37,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0642-0522,1189,0.07,0,85,0
38,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0627-0549,1784,0.05,0,33,0
39,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0644-0588,2279,0.30,0,85,0
40,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0595-0581,1167,0.14,0,85,0
41,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0531-0571,2045,4.890E-4,0,1,0
42,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0532-0638,2262,0.09,0,85,0
43,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0603-0661,2315,0.33,0,85,0
44,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0644-0662,2566,1.81,0,85,0
45,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0569-1019,5421,0.46,0,85,0
46,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0418-1154,4888,1.64,0,85,0
47,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0377-1047,6283,0.32,0,85,0
48,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0267-1080,2865,0.00,0,0,0
49,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0163-1016,5475,7.306E-4,0,2,0
50,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0440-0574,10559,2.462E-3,0,15,0
51,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0343-0538,4069,1.720E-3,0,7,0
52,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0391-0592,1385,0.11,0,48,0
53,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0369-0640,1062,0.12,0,79,0
54,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0399-0648,1167,0.76,0,84,0
55,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0440-0668,736,0.31,0,43,0
56,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0448-0694,1805,1.108E-3,0,2,0
57,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0477-0920,1546,0.47,0,85,0
58,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0444-0952,1864,0.55,0,85,0
59,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0396-0988,1603,0.94,0,85,0
60,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0464-1114,2226,4.31,0,85,0
61,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0686-0632,1571,1.90,0,85,0
62,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0326-0460,2290,0.04,0,53,0
63,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0293-0488,2964,0.00,0,0,0
64,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0228-0522,2238,0.01,0,12,0
65,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0272-0374,1712,0.01,0,17,0
66,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0249-0370,2256,0.04,0,85,0
67,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0226-0441,4171,0.28,0,85,0
68,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0170-0407,1414,0.09,0,85,0
69,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0176-0452,2481,0.16,0,85,0
70,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0137-0388,2000,0.03,0,68,0
71,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0142-0455,1548,0.11,0,43,0
72,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0102-0448,2270,4.61,0,85,0
73,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0139-0485,1125,0.94,0,85,0
74,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0186-0307,5722,3.12,0,85,0
75,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0209-0353,2571,3.890E-4,0,1,0
76,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0230-0257,1392,0.00,0,0,0
77,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0298-0241,3622,0.40,0,68,0
78,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0349-0267,4048,0.96,0,85,0
79,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0336-0215,1406,0.07,0,85,0
80,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0358-0122,3686,0.05,0,85,0
81,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0278-0172,4401,0.05,0,85,0
82,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0269-0233,721,0.00,0,0,0
83,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0398-0159,5085,6.096E-3,0,28,0
84,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0434-0121,1076,0.00,0,0,0
85,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0213-0160,2559,2.55,0,85,0
86,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0227-0093,1786,0.48,0,85,0
87,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0290-0094,2544,0.31,0,84,0
88,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0182-0198,1713,0.04,0,68,0
89,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0145-0265,1650,0.08,0,63,0
90,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0150-0346,1751,0.17,0,79,0
