 ,Label,Area,Mean,Min,Max,%Area
1,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0311-1134,7420,8.50,0,85,0
2,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0190-0760,4659,3.33,0,85,0
3,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0509-0098,9792,1.82,0,85,0
4,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0651-0330,2972,9.03,0,68,0
5,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0510-0382,3349,4.89,0,85,0
6,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0581-0498,2301,8.33,0,85,0
7,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0532-0814,3109,6.99,0,85,0
8,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0316-0849,1814,4.03,0,85,0
9,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0331-0863,1011,5.86,0,85,0
10,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0347-0883,1181,3.99,0,85,0
11,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0334-0927,1856,1.25,0,79,0
12,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0334-0598,3132,1.24,0,85,0
13,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0043-0533,1622,19.70,0,85,0
14,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0024-0495,1373,7.59,0,63,0
15,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0486-0675,1249,8.65,0,85,0
16,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0768-0544,3443,6.25,0,85,0
17,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0728-0534,1247,1.68,0,85,0
18,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0512-0718,3413,3.63,0,85,0
19,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0861-1017,5326,2.42,0,85,0
20,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0889-1064,2186,10.49,0,85,0
21,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0829-0240,2212,1.98,0,85,0
22,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0783-0256,2185,2.91,0,85,0
23,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0773-0205,1756,0.06,0,21,0
24,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0793-0296,1605,0.32,0,85,0
25,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0895-0070,2027,3.29,0,43,0
26,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0895-0776,1214,30.71,0,85,0
27,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0822-0801,1658,13.68,0,85,0
28,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0574-0697,1756,3.71,0,85,0
29,Raw_4T1_2-1_72h_27 - Red Light_11.tif:0245-0745,4004,1.87,0,85,0
