 ,Label,Area,Mean,Min,Max,%Area
1,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0790-1159,1154,0.00,0,0,0
2,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0728-1168,1644,0.00,0,0,0
3,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0905-1189,2381,0.00,0,0,0
4,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0849-1173,1669,0.00,0,0,0
5,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0858-1126,1509,0.00,0,0,0
6,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0892-1075,1324,0.00,0,0,0
7,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0649-1196,1515,0.00,0,0,0
8,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0629-1107,3486,0.07,0,18,0
9,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0717-0929,5305,0.01,0,11,0
10,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0606-0937,1902,0.51,0,85,0
11,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0882-0854,3291,0.00,0,0,0
12,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0474-0921,3978,0.01,0,8,0
13,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0464-0930,5485,1.459E-3,0,6,0
14,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0484-1090,2769,7.223E-4,0,2,0
15,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0582-0600,2306,0.00,0,0,0
16,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0573-0646,2708,0.03,0,85,0
17,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0465-0621,2724,4.03,0,85,0
18,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0650-0540,2157,0.00,0,0,0
19,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0711-0564,3062,0.03,0,85,0
20,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0766-0570,1737,3.24,0,49,0
21,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0500-1198,2102,0.00,0,0,0
22,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0460-1145,1474,1.14,0,31,0
23,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0432-1205,3377,0.49,0,70,0
24,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0432-1101,4085,0.00,0,0,0
25,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0378-0817,1241,0.00,0,0,0
26,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0414-0783,1498,0.08,0,20,0
27,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0897-0580,1379,0.00,0,0,0
28,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0248-0837,2993,0.01,0,13,0
29,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0270-0789,1252,0.00,0,0,0
30,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0050-0855,1890,0.00,0,0,0
31,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0076-0769,2095,0.04,0,13,0
32,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0068-0815,3216,2.87,0,85,0
33,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0055-0919,2151,0.00,0,0,0
34,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0238-1035,6281,0.04,0,16,0
35,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0277-1100,2586,0.00,0,0,0
36,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0350-0905,1146,0.00,0,0,0
37,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0329-0991,1940,0.00,0,0,0
38,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0263-0920,2656,1.37,0,39,0
39,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0202-0948,1634,4.45,0,85,0
40,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0349-0481,1882,1.63,0,85,0
41,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0375-0537,2481,1.24,0,85,0
42,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0109-0443,4572,2.187E-3,0,10,0
43,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0073-0545,6805,0.00,0,0,0
44,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0156-0777,3055,0.03,0,85,0
45,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0199-0760,1060,0.02,0,8,0
46,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0206-0789,1936,0.14,0,20,0
47,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0099-0867,1638,0.07,0,85,0
48,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0122-0956,1815,0.00,0,0,0
49,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0325-1176,4316,2.17,0,85,0
50,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0282-1202,5660,0.79,0,57,0
51,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0051-1170,1793,6.693E-3,0,10,0
52,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0201-1096,1011,5.935E-3,0,6,0
53,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0139-0999,1686,0.00,0,0,0
54,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0476-0217,2141,0.02,0,53,0
55,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0492-0194,1771,6.38,0,85,0
56,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0531-0173,1717,0.00,0,0,0
57,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0584-0190,4051,0.08,0,85,0
58,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0593-0232,2409,0.00,0,0,0
59,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0686-0204,2132,0.02,0,13,0
60,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0654-0230,898,0.00,0,0,0
61,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0602-0118,2528,0.00,0,0,0
62,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0693-0153,1241,6.446E-3,0,8,0
63,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0688-0166,861,0.00,0,0,0
64,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0685-0263,2789,0.00,0,0,0
65,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0513-0068,2613,0.00,0,0,0
66,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0569-0033,2106,0.00,0,0,0
67,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0641-0029,2308,1.733E-3,0,4,0
68,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0812-0307,2187,0.00,0,0,0
69,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0844-0218,1793,0.00,0,0,0
70,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0835-0269,1751,0.00,0,0,0
71,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0806-0130,2718,0.00,0,0,0
72,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0836-0074,1346,0.00,0,0,0
73,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0897-0110,2447,0.00,0,0,0
74,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0840-0130,1694,0.00,0,0,0
75,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0471-0139,2297,0.19,0,85,0
76,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0458-0156,1413,0.61,0,85,0
77,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0446-0110,1977,0.07,0,85,0
78,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0426-0171,1627,1.08,0,85,0
79,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0209-0247,3730,0.00,0,0,0
80,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0257-0372,6413,2.45,0,85,0
81,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0085-0349,3386,0.00,0,0,0
82,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0283-0694,711,0.48,0,85,0
83,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0273-0675,717,0.38,0,85,0
84,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0267-0646,578,0.16,0,43,0
85,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0375-0777,4778,2.302E-3,0,11,0
86,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0422-0970,5053,0.00,0,0,0
