 ,Label,Area,Mean,Min,Max,%Area
1,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0739-0749,2650,5.79,0,85,0
2,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0694-0653,1176,0.18,0,13,0
3,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0646-0688,1648,0.00,0,0,0
4,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0861-0474,2773,0.23,0,41,0
5,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0741-0954,1964,2.11,0,85,0
6,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0704-0834,4318,4.91,0,85,0
7,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0490-0694,1263,8.92,0,85,0
8,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0571-0729,1562,1.03,0,28,0
9,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0541-0700,1966,0.09,0,85,0
10,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0476-0748,1772,5.68,0,85,0
11,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0530-0741,999,0.03,0,8,0
12,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0877-0937,4184,1.66,0,85,0
13,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0804-0974,3233,3.71,0,85,0
14,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0921-0977,2989,0.00,0,0,0
15,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0841-1072,2188,0.00,0,0,0
16,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0800-1015,1364,27.30,0,85,0
17,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0135-0885,1024,3.87,0,85,0
18,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0189-0869,1177,0.02,0,10,0
19,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0195-0833,960,0.00,0,0,0
20,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0228-0804,1032,0.00,0,0,0
21,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0242-0767,956,0.17,0,22,0
22,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0231-0732,938,9.28,0,85,0
23,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0099-0720,2797,0.00,0,0,0
24,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0044-0682,2301,7.65,0,85,0
25,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0046-0646,1864,8.01,0,85,0
26,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0285-0455,3751,0.06,0,18,0
27,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0186-0523,2005,7.12,0,85,0
28,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0265-0597,977,1.36,0,37,0
29,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0337-0702,1239,6.40,0,85,0
30,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0431-0714,1588,0.02,0,8,0
31,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0467-0739,1192,7.76,0,85,0
32,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0440-0669,1799,5.99,0,85,0
33,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0408-0673,1384,1.71,0,85,0
34,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0403-0648,1177,0.99,0,85,0
35,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0325-0596,904,2.08,0,35,0
36,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0127-0593,1249,0.48,0,20,0
37,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0153-0541,1489,0.00,0,0,0
38,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0165-0592,957,0.06,0,24,0
39,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0084-0621,959,0.00,0,0,0
40,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0110-0645,1125,0.00,0,0,0
41,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0143-0622,1120,0.15,0,85,0
42,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0161-0658,1465,1.87,0,85,0
43,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0222-0514,3024,2.64,0,85,0
44,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0414-0454,1350,0.71,0,85,0
45,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0425-0414,1199,5.19,0,85,0
46,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0383-0380,2032,2.58,0,85,0
47,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0448-0417,1271,0.02,0,10,0
48,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0491-0406,2383,0.00,0,0,0
49,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0742-0298,2783,6.11,0,85,0
50,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0785-0253,2359,0.46,0,85,0
51,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0771-0201,1334,2.12,0,85,0
52,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0756-0206,1329,0.45,0,85,0
53,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0616-0324,1682,5.11,0,85,0
54,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0627-0368,1535,0.00,0,0,0
55,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0581-0324,796,6.95,0,85,0
56,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0625-0292,643,0.00,0,0,0
57,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0665-0331,1903,1.051E-3,0,2,0
58,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0406-0286,1940,6.43,0,85,0
59,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0378-0316,2686,0.36,0,26,0
60,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0364-0279,1778,12.36,0,85,0
61,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0211-0694,1111,3.92,0,85,0
62,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0183-0703,1164,0.25,0,16,0
63,Raw_4T1_2-1_24h_20 - Red Light_11.tif:0146-0679,1225,1.04,0,85,0
