 ,Label,Area,Mean,Min,Max,X,Y,%Area
1,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0129-0073,1922,0.01,0,8,73.34,130.25,0
2,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0154-0191,2112,0.04,0,61,192.60,153.51,0
3,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0073-0267,1289,5.18,0,85,268.21,74.08,0
4,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0228-0246,2301,0.04,0,26,250.00,227.89,0
5,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0370-0113,1152,0.07,0,24,114.61,370.79,0
6,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0326-0078,1578,0.80,0,76,78.55,327.49,0
7,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0295-0125,1563,0.02,0,15,126.16,296.06,0
8,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0406-0325,1349,0.54,0,70,324.83,405.98,0
9,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0499-0166,964,9.336E-3,0,9,166.36,499.18,0
10,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0500-0092,2345,0.02,0,36,91.56,501.35,0
11,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0583-0072,1736,0.32,0,48,72.36,581.56,0
12,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0612-0126,3042,0.10,0,36,127.57,618.03,0
13,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0565-0489,1726,1.76,0,76,492.88,566.72,0
14,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0676-0515,1948,0.01,0,29,514.41,679.75,0
15,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0684-0581,1097,0.12,0,85,582.31,685.32,0
16,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0644-0663,1347,0.76,0,49,662.78,642.04,0
17,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0597-0688,977,0.40,0,50,692.73,599.97,0
18,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0562-0699,1227,0.40,0,85,700.91,562.05,0
19,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0520-0625,2457,0.73,0,54,627.13,517.92,0
20,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0452-0777,3237,3.398E-3,0,11,773.18,451.63,0
21,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0316-0494,2164,0.17,0,85,490.35,315.43,0
22,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0249-0531,2723,0.55,0,85,532.61,243.16,0
23,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0220-0702,2329,0.96,0,83,703.89,219.07,0
24,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0109-0674,2881,0.02,0,41,672.11,105.72,0
25,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0054-0757,1378,0.30,0,70,756.78,54.52,0
26,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0084-0834,811,0.07,0,26,834.56,84.69,0
27,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0197-0899,1570,0.11,0,25,899.87,199.81,0
28,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0302-0893,704,0.03,0,12,893.26,302.64,0
29,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0314-0865,807,0.24,0,52,863.63,314.64,0
30,4T1_Raw_1-4_72h_1 - Red Light_1.tif:0237-0885,699,0.00,0,0,884.57,238.98,0
