 ,Label,Area,Mean,Min,Max,%Area
1,24h_2 - Red Light_11.tif:0102-0444,1402,0.02,0,29,0
2,24h_2 - Red Light_11.tif:0273-0420,1764,0.09,0,42,0
3,24h_2 - Red Light_11.tif:0166-0523,983,9.156E-3,0,6,0
4,24h_2 - Red Light_11.tif:0138-0519,795,0.00,0,0,0
5,24h_2 - Red Light_11.tif:0079-0479,3342,0.13,0,85,0
6,24h_2 - Red Light_11.tif:0194-0543,345,0.74,0,77,0
7,24h_2 - Red Light_11.tif:0214-0555,545,0.83,0,63,0
8,24h_2 - Red Light_11.tif:0272-0579,1354,0.02,0,12,0
9,24h_2 - Red Light_11.tif:0243-0612,980,0.04,0,19,0
10,24h_2 - Red Light_11.tif:0288-0626,1266,0.08,0,26,0
11,24h_2 - Red Light_11.tif:0255-0777,2023,0.12,0,85,0
12,24h_2 - Red Light_11.tif:0306-0792,1107,0.09,0,43,0
13,24h_2 - Red Light_11.tif:0297-0832,1346,0.09,0,57,0
14,24h_2 - Red Light_11.tif:0339-0861,1383,1.36,0,65,0
15,24h_2 - Red Light_11.tif:0226-0836,2446,0.09,0,58,0
16,24h_2 - Red Light_11.tif:0174-0853,1427,0.03,0,23,0
17,24h_2 - Red Light_11.tif:0116-0852,5951,0.04,0,50,0
18,24h_2 - Red Light_11.tif:0098-0922,2843,0.06,0,85,0
19,24h_2 - Red Light_11.tif:0130-0911,1761,0.04,0,21,0
20,24h_2 - Red Light_11.tif:0100-0987,1906,0.06,0,22,0
21,24h_2 - Red Light_11.tif:0148-1020,1300,0.01,0,8,0
22,24h_2 - Red Light_11.tif:0100-1017,434,0.02,0,10,0
23,24h_2 - Red Light_11.tif:0208-1052,2448,0.10,0,85,0
24,24h_2 - Red Light_11.tif:0268-1072,2918,1.35,0,85,0
25,24h_2 - Red Light_11.tif:0192-0789,3344,0.08,0,74,0
26,24h_2 - Red Light_11.tif:0131-0707,1345,0.05,0,27,0
27,24h_2 - Red Light_11.tif:0065-0726,2131,0.03,0,32,0
28,24h_2 - Red Light_11.tif:0128-0748,1864,0.08,0,85,0
29,24h_2 - Red Light_11.tif:0088-0804,1530,0.21,0,65,0
