 ,Label,Area,Mean,Min,Max,%Area
1,0h_33 - Red Light_1.tif:0641-1029,1446,0.00,0,0,0
2,0h_33 - Red Light_1.tif:0666-1066,737,0.00,0,0,0
3,0h_33 - Red Light_1.tif:0682-1037,707,0.00,0,0,0
4,0h_33 - Red Light_1.tif:0810-0862,2661,3.35,0,85,0
5,0h_33 - Red Light_1.tif:0875-0633,2873,7.658E-3,0,11,0
6,0h_33 - Red Light_1.tif:0822-0282,2578,0.16,0,85,0
7,0h_33 - Red Light_1.tif:0430-0541,1553,0.00,0,0,0
8,0h_33 - Red Light_1.tif:0801-0797,4657,3.44,0,85,0
9,0h_33 - Red Light_1.tif:0775-0788,2594,5.24,0,85,0
10,0h_33 - Red Light_1.tif:0350-0858,2349,0.12,0,85,0
11,0h_33 - Red Light_1.tif:0269-1074,1584,0.00,0,0,0
12,0h_33 - Red Light_1.tif:0206-0669,1118,0.00,0,0,0
13,0h_33 - Red Light_1.tif:0230-0438,4785,0.00,0,0,0
14,0h_33 - Red Light_1.tif:0258-0462,2532,0.00,0,0,0
15,0h_33 - Red Light_1.tif:0201-0500,2154,0.00,0,0,0
16,0h_33 - Red Light_1.tif:0292-0311,1669,0.00,0,0,0
17,0h_33 - Red Light_1.tif:0333-0126,2935,0.00,0,0,0
18,0h_33 - Red Light_1.tif:0232-0199,2110,0.00,0,0,0
19,0h_33 - Red Light_1.tif:0678-0190,1144,0.04,0,15,0
20,0h_33 - Red Light_1.tif:0177-0226,4282,0.00,0,0,0
21,0h_33 - Red Light_1.tif:0195-0293,1852,0.00,0,0,0
22,0h_33 - Red Light_1.tif:0198-0348,1196,0.00,0,0,0
23,0h_33 - Red Light_1.tif:0151-0279,1766,9.060E-3,0,16,0
24,0h_33 - Red Light_1.tif:0180-0363,2636,0.00,0,0,0
25,0h_33 - Red Light_1.tif:0115-0383,3503,0.00,0,0,0
26,0h_33 - Red Light_1.tif:0158-0462,1899,0.00,0,0,0
27,0h_33 - Red Light_1.tif:0171-0558,2625,0.00,0,0,0
28,0h_33 - Red Light_1.tif:0179-0601,1853,0.00,0,0,0
29,0h_33 - Red Light_1.tif:0179-0652,3053,0.04,0,45,0
30,0h_33 - Red Light_1.tif:0080-0678,1891,0.00,0,0,0
31,0h_33 - Red Light_1.tif:0180-0897,3018,0.37,0,85,0
32,0h_33 - Red Light_1.tif:0107-0790,6713,0.05,0,70,0
33,0h_33 - Red Light_1.tif:0801-0543,3341,0.06,0,66,0
34,0h_33 - Red Light_1.tif:0003-0231-0601,2615,0.00,0,0,0
35,0h_33 - Red Light_1.tif:0003-0656-0980,2245,0.00,0,0,0
36,0h_33 - Red Light_1.tif:0003-0613-0978,1111,0.00,0,0,0
37,0h_33 - Red Light_1.tif:0003-0611-0944,1211,0.49,0,60,0
38,0h_33 - Red Light_1.tif:0003-0496-0640,1574,3.47,0,85,0
39,0h_33 - Red Light_1.tif:0003-0531-0623,1462,0.26,0,46,0
40,0h_33 - Red Light_1.tif:0003-0452-0498,1556,0.00,0,0,0
41,0h_33 - Red Light_1.tif:0003-0290-0400,3750,0.00,0,0,0
42,0h_33 - Red Light_1.tif:0001-0509-1024,2191,2.59,0,85,0
43,0h_33 - Red Light_1.tif:0003-0512-1034,2329,2.51,0,85,0
44,0h_33 - Red Light_1.tif:0003-0539-1126,2859,0.01,0,21,0
45,0h_33 - Red Light_1.tif:0003-0519-1175,1153,0.00,0,0,0
46,0h_33 - Red Light_1.tif:0003-0514-1065,1200,0.45,0,80,0
47,0h_33 - Red Light_1.tif:0003-0561-1061,2246,0.00,0,0,0
48,0h_33 - Red Light_1.tif:0003-0596-1074,721,0.00,0,0,0
49,0h_33 - Red Light_1.tif:0003-0575-1103,1042,0.00,0,0,0
50,0h_33 - Red Light_1.tif:0003-0593-1131,843,0.22,0,25,0
51,0h_33 - Red Light_1.tif:0003-0596-1168,1106,1.56,0,85,0
52,0h_33 - Red Light_1.tif:0003-0587-1196,1372,1.60,0,85,0
53,0h_33 - Red Light_1.tif:0003-0569-1215,1437,0.28,0,85,0
54,0h_33 - Red Light_1.tif:0003-0485-1124,2480,0.20,0,53,0
55,0h_33 - Red Light_1.tif:0003-0450-1112,1450,0.32,0,57,0
56,0h_33 - Red Light_1.tif:0003-0545-0988,1320,4.83,0,85,0
57,0h_33 - Red Light_1.tif:0003-0568-0954,1412,8.49,0,85,0
58,0h_33 - Red Light_1.tif:0003-0229-0944,3225,0.15,0,85,0
59,0h_33 - Red Light_1.tif:0003-0263-0983,1709,0.20,0,75,0
60,0h_33 - Red Light_1.tif:0003-0241-1005,2589,0.07,0,85,0
61,0h_33 - Red Light_1.tif:0003-0191-1197,2884,0.00,0,0,0
62,0h_33 - Red Light_1.tif:0003-0201-1113,1582,0.00,0,0,0
63,0h_33 - Red Light_1.tif:0003-0207-1085,1310,0.00,0,0,0
64,0h_33 - Red Light_1.tif:0003-0215-1057,1377,0.00,0,0,0
65,0h_33 - Red Light_1.tif:0003-0257-1084,1043,0.00,0,0,0
66,0h_33 - Red Light_1.tif:0003-0175-1156,2445,0.00,0,0,0
67,0h_33 - Red Light_1.tif:0003-0262-1132,3549,0.00,0,0,0
68,0h_33 - Red Light_1.tif:0003-0397-0979,2115,0.00,0,0,0
69,0h_33 - Red Light_1.tif:0003-0401-1040,1406,0.00,0,0,0
70,0h_33 - Red Light_1.tif:0003-0414-1072,1284,0.18,0,41,0
71,0h_33 - Red Light_1.tif:0003-0436-1009,2186,0.24,0,85,0
72,0h_33 - Red Light_1.tif:0003-0587-0100,1987,0.00,0,0,0
73,0h_33 - Red Light_1.tif:0003-0612-0061,2042,0.06,0,85,0
74,0h_33 - Red Light_1.tif:0003-0629-0110,1474,0.06,0,43,0
75,0h_33 - Red Light_1.tif:0003-0625-0150,1290,0.00,0,0,0
76,0h_33 - Red Light_1.tif:0003-0660-0076,1190,0.06,0,64,0
77,0h_33 - Red Light_1.tif:0003-0715-0081,2710,0.03,0,25,0
78,0h_33 - Red Light_1.tif:0003-0200-0735,2251,0.10,0,85,0
79,0h_33 - Red Light_1.tif:0003-0197-0804,1673,0.09,0,75,0
80,0h_33 - Red Light_1.tif:0003-0265-0766,2412,0.18,0,85,0
81,0h_33 - Red Light_1.tif:0003-0247-0799,1728,0.00,0,0,0
82,0h_33 - Red Light_1.tif:0003-0140-1013,978,0.00,0,0,0
83,0h_33 - Red Light_1.tif:0003-0185-1012,1683,0.00,0,0,0
84,0h_33 - Red Light_1.tif:0003-0161-1055,2051,0.00,0,0,0
85,0h_33 - Red Light_1.tif:0003-0126-1100,1819,0.00,0,0,0
86,0h_33 - Red Light_1.tif:0003-0086-1115,1238,0.00,0,0,0
87,0h_33 - Red Light_1.tif:0003-0124-1147,1687,0.00,0,0,0
