 ,Label,Area,Mean,Min,Max,%Area
1,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0609-0498,2871,26.49,0,72,0
2,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0734-0719,3720,10.48,0,85,0
3,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0693-0866,1684,3.78,0,85,0
4,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0483-1095,4680,11.44,0,85,0
5,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0492-1206,3659,8.08,0,85,0
6,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0184-0712,4159,7.12,0,85,0
7,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0180-0668,1371,20.58,0,85,0
8,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0216-0599,4474,4.14,0,85,0
9,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0148-0620,1555,3.97,0,85,0
10,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0128-0505,3288,8.65,0,85,0
11,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0097-0387,1797,9.05,0,85,0
12,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0067-0508,2654,4.00,0,85,0
13,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0050-0580,3249,2.47,0,54,0
14,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0070-0670,1893,7.48,0,85,0
15,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0575-0438,7793,8.23,0,64,0
16,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0292-0238,3271,3.67,0,85,0
17,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0307-0292,1797,6.16,0,85,0
18,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0657-0305,5081,4.78,0,50,0
19,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0684-0236,1918,2.33,0,41,0
20,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0706-0290,1979,3.25,0,25,0
21,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0195-0767,3209,9.13,0,85,0
22,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0260-0794,3602,0.90,0,85,0
23,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0227-0816,1112,4.496E-3,0,4,0
24,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0274-0919,1731,7.68,0,85,0
25,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0896-0232,5526,11.37,0,85,0
26,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0898-0455,5108,1.78,0,85,0
