 ,Label,Area,Mean,Min,Max,%Area
1,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0316-0744,1998,2.503E-3,0,2,0
2,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0392-0753,2639,0.36,0,14,0
3,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0376-0806,3378,1.46,0,64,0
4,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0335-0823,1444,0.02,0,5,0
5,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0299-0847,2652,6.033E-3,0,4,0
6,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0376-0876,2682,0.02,0,8,0
7,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0395-0842,1240,16.12,0,85,0
8,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0332-0927,2222,7.87,0,85,0
9,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0360-0901,779,0.00,0,0,0
10,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0388-0926,1488,0.02,0,7,0
11,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0372-0956,2135,5.621E-3,0,4,0
12,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0432-0922,1177,0.00,0,0,0
13,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0451-0933,1382,0.00,0,0,0
14,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0440-0986,831,0.00,0,0,0
15,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0505-0944,890,1.124E-3,0,1,0
16,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0514-0964,1613,0.22,0,12,0
17,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0402-1003,3362,0.01,0,6,0
18,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0646-0749,6355,3.36,0,85,0
19,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0512-0804,6679,1.95,0,85,0
20,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0647-0636,5002,0.06,0,11,0
21,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0560-0656,1383,0.49,0,27,0
22,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0589-0673,1172,0.09,0,7,0
23,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0540-0719,2106,0.04,0,11,0
24,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0673-0463,6762,0.86,0,39,0
25,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0664-0348,2882,0.21,0,18,0
26,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0661-0404,2154,0.46,0,21,0
27,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0471-0455,1916,0.10,0,14,0
28,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0441-0497,1313,0.12,0,9,0
29,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0387-0506,2134,1.99,0,85,0
30,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0290-0512,2382,6.23,0,85,0
31,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0572-0408,4563,7.45,0,50,0
32,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0493-0376,3268,0.49,0,41,0
33,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0487-0409,1237,2.49,0,33,0
34,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0441-0448,2583,8.03,0,85,0
35,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0542-0366,1130,0.56,0,15,0
36,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0464-0290,6600,10.36,0,85,0
37,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0359-0273,492,0.03,0,4,0
38,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0366-0283,1607,0.17,0,39,0
39,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0408-0349,7001,2.89,0,85,0
40,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0395-0417,933,0.73,0,29,0
41,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0362-0432,1763,0.49,0,57,0
42,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0346-0465,5933,1.18,0,85,0
43,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0310-0376,4898,4.69,0,85,0
44,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0267-0450,6128,0.62,0,85,0
45,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0227-0510,2111,2.41,0,85,0
46,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0275-0592,2389,0.46,0,18,0
47,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0219-0388,5129,0.87,0,85,0
48,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0527-0551,6529,1.26,0,36,0
49,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0642-0844,1757,0.00,0,0,0
50,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0669-0981,14101,2.45,0,85,0
51,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0580-0950,1980,3.18,0,85,0
52,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0533-1020,5464,1.41,0,85,0
53,Raw_4T1_2-1_72h_36 - Red Light_1.tif:0475-1000,2698,0.14,0,13,0
