 ,Label,Area,Mean,Min,Max,X,Y,%Area
1,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0058-0160,1593,0.00,0,0,161.77,66.43,0
2,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0414-0121,2137,5.46,0,85,119.72,410.36,0
3,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0684-0162,1628,0.76,0,83,162.81,682.29,0
4,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0720-0208,1810,0.27,0,77,213.18,722.34,0
5,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0250-0587,4490,1.68,0,85,585.15,246.47,0
6,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0332-0670,3910,1.60,0,85,670.29,331.63,0
7,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0379-0841,2193,0.18,0,56,838.82,383.71,0
8,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0421-0826,1795,0.16,0,85,822.21,425.29,0
9,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0428-0746,2443,0.34,0,72,742.55,424.23,0
10,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0425-0685,3726,0.05,0,56,671.62,419.23,0
11,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0442-0546,5427,0.02,0,12,545.60,456.84,0
12,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0629-0631,1684,2.00,0,59,632.45,625.86,0
13,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0623-0767,1618,0.78,0,48,769.20,619.19,0
14,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0652-0717,4310,0.48,0,41,722.45,637.37,0
15,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0654-0826,3437,0.15,0,34,829.61,660.63,0
16,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0653-0898,1434,1.76,0,59,897.35,652.26,0
17,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0689-0876,1106,0.07,0,16,874.79,685.35,0
18,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0818-0520,5321,1.35,0,85,520.61,836.83,0
19,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0823-0664,4700,1.22,0,85,667.73,820.71,0
20,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0579-1178,3272,0.28,0,35,1171.60,598.16,0
21,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0720-1181,1513,0.19,0,30,1182.23,720.19,0
22,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0805-1091,3207,0.74,0,85,1089.52,800.04,0
23,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0920-1108,2750,0.13,0,35,1110.48,920.21,0
24,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0360-1057,4269,1.69,0,82,1065.41,371.46,0
25,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0455-1033,4221,0.07,0,25,1034.03,449.53,0
