 ,Label,Area,Mean,Min,Max,X,Y,%Area
1,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0242-0399,5109,2.51,0,85,437.15,239.73,0
2,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0428-0399,7635,0.01,0,7,412.89,460.97,0
3,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0195-1014,2236,2.683E-3,0,2,1016.10,187.96,0
4,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0229-0869,3461,0.62,0,81,869.26,217.45,0
5,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0230-0943,3830,0.01,0,21,965.57,249.33,0
6,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0703-0062,6344,1.79,0,77,55.63,713.18,0
7,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0556-0170,5742,1.50,0,85,170.02,570.06,0
8,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0308-1213,5429,0.04,0,85,1221.88,297.63,0
9,Raw264.7_4T1_4_1_14_0h_14 - Red Light_1.tif:0291-1134,1743,0.92,0,44,1134.24,296.82,0
