 ,Label,Area,Mean,Min,Max,%Area
1,0h_15 - Red Light_11.tif:0070-0212,3317,0.06,0,85,0
2,0h_15 - Red Light_11.tif:0118-0183,3555,0.05,0,85,0
3,0h_15 - Red Light_11.tif:0171-0125,2854,0.95,0,85,0
4,0h_15 - Red Light_11.tif:0091-0428,4052,0.05,0,85,0
5,0h_15 - Red Light_11.tif:0078-0478,1044,0.06,0,64,0
6,0h_15 - Red Light_11.tif:0170-0489,2600,0.25,0,85,0
7,0h_15 - Red Light_11.tif:0156-0392,2632,0.08,0,85,0
8,0h_15 - Red Light_11.tif:0195-0420,1607,0.16,0,85,0
9,0h_15 - Red Light_11.tif:0198-0486,2465,0.08,0,85,0
10,0h_15 - Red Light_11.tif:0256-0544,3219,0.17,0,85,0
11,0h_15 - Red Light_11.tif:0233-0562,2579,0.01,0,16,0
12,0h_15 - Red Light_11.tif:0303-0656,2634,0.4,0,85,0
13,0h_15 - Red Light_11.tif:0265-0746,5267,0.83,0,85,0
14,0h_15 - Red Light_11.tif:0130-0619,2083,1.44E-03,0,3,0
15,0h_15 - Red Light_11.tif:0366-0918,3208,0.33,0,85,0
16,0h_15 - Red Light_11.tif:0250-0992,2167,0.32,0,85,0
17,0h_15 - Red Light_11.tif:0219-1046,2387,0.22,0,85,0
18,0h_15 - Red Light_11.tif:0114-0977,2868,0.06,0,85,0
19,0h_15 - Red Light_11.tif:0129-1085,4280,0.07,0,85,0
20,0h_15 - Red Light_11.tif:0274-1123,3150,0.23,0,85,0
21,0h_15 - Red Light_11.tif:0470-1052,1689,0.13,0,85,0
22,0h_15 - Red Light_11.tif:0492-1130,1630,0.2,0,85,0
23,0h_15 - Red Light_11.tif:0557-1196,1564,0.27,0,85,0
24,0h_15 - Red Light_11.tif:0528-1226,2087,0.16,0,85,0
25,0h_15 - Red Light_11.tif:0396-0797,2912,0.27,0,85,0
26,0h_15 - Red Light_11.tif:0421-0827,2738,0.49,0,85,0
27,0h_15 - Red Light_11.tif:0466-0855,3900,0.6,0,85,0
28,0h_15 - Red Light_11.tif:0515-0855,1482,0.31,0,85,0
29,0h_15 - Red Light_11.tif:0532-0884,1876,0.18,0,85,0
30,0h_15 - Red Light_11.tif:0568-0832,2139,0.17,0,85,0
31,0h_15 - Red Light_11.tif:0490-0803,2419,0.19,0,85,0
32,0h_15 - Red Light_11.tif:0442-0776,2146,0.44,0,85,0
33,0h_15 - Red Light_11.tif:0444-0730,2431,0.7,0,85,0
34,0h_15 - Red Light_11.tif:0403-0623,2788,0.29,0,85,0
35,0h_15 - Red Light_11.tif:0327-0566,2427,0.36,0,85,0
36,0h_15 - Red Light_11.tif:0277-0484,1214,0.19,0,85,0
37,0h_15 - Red Light_11.tif:0261-0439,1531,0.63,0,85,0
38,0h_15 - Red Light_11.tif:0305-0400,1722,0.23,0,74,0
39,0h_15 - Red Light_11.tif:0276-0358,5114,0.14,0,85,0
40,0h_15 - Red Light_11.tif:0350-0330,1358,0.11,0,85,0
41,0h_15 - Red Light_11.tif:0400-0336,3141,0.21,0,85,0
42,0h_15 - Red Light_11.tif:0288-0152,3063,0.23,0,85,0
43,0h_15 - Red Light_11.tif:0234-0182,2378,0.12,0,85,0
44,0h_15 - Red Light_11.tif:0246-0222,1229,0.08,0,85,0
45,0h_15 - Red Light_11.tif:0236-0240,2025,0.19,0,85,0
46,0h_15 - Red Light_11.tif:0267-0257,1871,0.03,0,58,0
47,0h_15 - Red Light_11.tif:0296-0298,981,0.24,0,85,0
48,0h_15 - Red Light_11.tif:0377-0256,3397,0.05,0,85,0
49,0h_15 - Red Light_11.tif:0307-0230,2444,0.15,0,85,0
50,0h_15 - Red Light_11.tif:0340-0310,2166,0.05,0,85,0
51,0h_15 - Red Light_11.tif:0394-0529,4554,0.43,0,85,0
