 ,Label,Area,Mean,Min,Max,%Area
1,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0090-0038,815,0.00,0,0,0
2,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0121-0031,712,0.07,0,51,0
3,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0052-0069,557,0.00,0,0,0
4,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0028-0088,489,0.00,0,0,0
5,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0060-0121,543,0.00,0,0,0
6,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0062-0096,480,0.00,0,0,0
7,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0115-0143,1831,0.04,0,79,0
8,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0200-0126,877,0.00,0,0,0
9,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0230-0095,1007,0.03,0,26,0
10,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0221-0288,914,0.11,0,85,0
11,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0341-0275,3447,0.05,0,85,0
12,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0259-0412,3537,0.05,0,85,0
13,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0231-0497,1378,0.00,0,0,0
14,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0149-0493,1047,0.00,0,0,0
15,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0120-0540,1005,0.00,0,0,0
16,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0457-0071,1086,6.446E-3,0,7,0
17,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0572-0188,1921,0.06,0,85,0
18,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0552-0147,2040,0.00,0,0,0
19,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0630-0147,2721,0.00,0,0,0
20,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0650-0050,1435,0.00,0,0,0
21,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0636-0087,1692,0.01,0,22,0
22,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0510-0214,895,0.09,0,27,0
23,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0519-0245,700,0.00,0,0,0
24,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0584-0100,1491,0.00,0,0,0
25,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0760-0104,782,0.00,0,0,0
26,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0722-0133,573,0.00,0,0,0
27,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0723-0160,496,0.00,0,0,0
28,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0745-0159,500,0.00,0,0,0
29,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0841-0125,1588,6.297E-3,0,10,0
30,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0855-0114,1118,0.07,0,79,0
31,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0894-0099,1101,0.00,0,0,0
32,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0867-0094,755,0.00,0,0,0
33,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0919-0079,915,0.00,0,0,0
34,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0918-0149,2369,0.03,0,64,0
35,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0916-0218,1647,0.00,0,0,0
36,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0899-0269,933,0.00,0,0,0
37,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0903-0310,1327,0.00,0,0,0
38,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0912-0347,1253,0.00,0,0,0
39,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0912-0055,655,0.00,0,0,0
40,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0892-0048,1143,0.00,0,0,0
41,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0835-0287,1053,0.00,0,0,0
42,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0831-0362,1289,0.00,0,0,0
43,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0875-0382,1368,0.07,0,82,0
44,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0876-0340,934,0.00,0,0,0
45,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0852-0327,713,0.00,0,0,0
46,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0795-0322,726,0.00,0,0,0
47,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0641-0366,1172,0.05,0,57,0
48,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0914-0385,691,0.19,0,49,0
49,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0880-0461,1606,0.00,0,0,0
50,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0889-0507,1908,0.00,0,0,0
51,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0806-0548,2661,0.00,0,0,0
52,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0733-0542,1967,0.04,0,85,0
53,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0744-0471,1733,0.00,0,0,0
54,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0781-0476,1353,0.10,0,85,0
55,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0835-0454,1745,0.00,0,0,0
56,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0822-0489,1412,0.06,0,85,0
57,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0656-0525,3272,2.139E-3,0,7,0
58,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0479-0344,1589,0.00,0,0,0
59,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0469-0366,768,0.00,0,0,0
60,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0429-0301,846,0.00,0,0,0
61,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0401-0292,1159,0.00,0,0,0
62,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0384-0377,1729,0.00,0,0,0
63,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0391-0392,632,0.00,0,0,0
64,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0398-0441,798,0.00,0,0,0
65,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0405-0468,1072,0.08,0,85,0
66,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0421-0478,2110,0.00,0,0,0
67,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0215-0702,3217,0.00,0,0,0
68,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0194-0599,1548,0.03,0,22,0
69,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0148-0589,973,0.00,0,0,0
70,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0173-0447,4015,0.00,0,0,0
