 ,Label,Area,Mean,Min,Max,%Area
1,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0726-0592,2778,25.03,0,85,0
2,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0596-0805,3429,3.34,0,85,0
3,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0354-0501,2255,8.82,0,85,0
4,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0316-0513,1121,0.54,0,85,0
5,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0302-0560,1714,0.19,0,82,0
6,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0301-0521,1018,0.16,0,58,0
7,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0314-0618,1266,0.36,0,85,0
8,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0322-0657,954,2.92,0,85,0
9,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0289-0686,1134,8.73,0,85,0
10,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0333-0692,1123,0.09,0,52,0
11,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0350-0658,612,0.08,0,37,0
12,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0397-0701,2019,3.38,0,85,0
13,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0345-0738,1226,1.35,0,85,0
14,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0332-0765,1237,0.89,0,85,0
15,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0335-0794,899,2.10,0,85,0
16,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0294-0780,2009,13.42,0,85,0
17,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0803-0741,1321,4.80,0,85,0
18,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0857-0670,935,0.49,0,85,0
19,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0699-0895,1169,3.83,0,85,0
20,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0636-0960,1167,0.02,0,14,0
21,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0783-0178,1253,0.51,0,85,0
22,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0916-0571,3806,0.20,0,85,0
23,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0530-1149,1666,0.97,0,85,0
24,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0445-1135,800,0.08,0,65,0
25,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0418-0855,896,1.40,0,85,0
26,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0407-0835,696,0.96,0,85,0
27,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0597-0708,3717,0.07,0,85,0
28,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0735-0350,3042,0.55,0,85,0
29,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0288-0456,2889,0.04,0,72,0
30,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0242-0104,938,0.17,0,63,0
31,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0256-0112,1337,0.00,0,0,0
32,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0328-0087,772,0.02,0,19,0
33,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0370-0044,2610,0.05,0,55,0
34,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0690-0070,1616,0.10,0,85,0
35,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0513-0516,1219,0.07,0,85,0
36,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0494-0559,990,0.27,0,85,0
37,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0476-0594,976,0.20,0,85,0
38,4T1_Raw_2-1_24h_06 - Red Light_11.tif:0479-0164,3087,0.04,0,85,0
