 ,Label,Area,Mean,Min,Max,%Area
1,24h_11 - Red Light_0.tif:0228-0173,2579,0.08,0,30,0
2,24h_11 - Red Light_0.tif:0288-0473,1998,0.04,0,17,0
3,24h_11 - Red Light_0.tif:0222-0511,1668,0.04,0,26,0
4,24h_11 - Red Light_0.tif:0237-0544,1457,0.11,0,28,0
5,24h_11 - Red Light_0.tif:0270-0546,1670,0.04,0,18,0
6,24h_11 - Red Light_0.tif:0210-0729,1744,0.16,0,37,0
7,24h_11 - Red Light_0.tif:0272-0978,3805,0.03,0,40,0
8,24h_11 - Red Light_0.tif:0386-1172,1857,0.04,0,33,0
9,24h_11 - Red Light_0.tif:0455-1060,4711,0.02,0,21,0
10,24h_11 - Red Light_0.tif:0568-0906,2893,0.05,0,43,0
11,24h_11 - Red Light_0.tif:0610-1057,1581,0.20,0,85,0
12,24h_11 - Red Light_0.tif:0583-1086,2115,0.17,0,85,0
13,24h_11 - Red Light_0.tif:0626-1144,2069,0.17,0,85,0
14,24h_11 - Red Light_0.tif:0583-1158,1023,0.05,0,31,0
15,24h_11 - Red Light_0.tif:0614-1201,1267,0.09,0,25,0
16,24h_11 - Red Light_0.tif:0747-1099,3056,0.04,0,58,0
17,24h_11 - Red Light_0.tif:0777-1167,1597,0.15,0,85,0
18,24h_11 - Red Light_0.tif:0733-1188,1585,0.14,0,80,0
19,24h_11 - Red Light_0.tif:0720-1216,3139,0.13,0,85,0
20,24h_11 - Red Light_0.tif:0663-1218,1193,0.13,0,40,0
21,24h_11 - Red Light_0.tif:0839-1135,3229,0.15,0,85,0
22,24h_11 - Red Light_0.tif:0842-1049,3242,0.22,0,85,0
23,24h_11 - Red Light_0.tif:0785-1011,2597,0.17,0,85,0
24,24h_11 - Red Light_0.tif:0111-0189,4860,0.04,0,53,0
25,24h_11 - Red Light_0.tif:0171-0365,3824,0.14,0,66,0
26,24h_11 - Red Light_0.tif:0413-0455,6366,0.05,0,51,0
27,24h_11 - Red Light_0.tif:0399-0523,2210,0.05,0,28,0
28,24h_11 - Red Light_0.tif:0374-0574,4360,0.11,0,48,0
29,24h_11 - Red Light_0.tif:0386-0608,2840,0.06,0,68,0
30,24h_11 - Red Light_0.tif:0392-0655,1703,0.14,0,85,0
31,24h_11 - Red Light_0.tif:0407-0693,2331,0.12,0,85,0
32,24h_11 - Red Light_0.tif:0499-0109,1923,0.87,0,85,0
33,24h_11 - Red Light_0.tif:0479-0137,1726,0.05,0,85,0
34,24h_11 - Red Light_0.tif:0503-0252,3381,0.41,0,85,0
35,24h_11 - Red Light_0.tif:0441-0324,8265,0.11,0,60,0
36,24h_11 - Red Light_0.tif:0631-0181,2866,0.28,0,85,0
37,24h_11 - Red Light_0.tif:0670-0220,3931,0.29,0,85,0
38,24h_11 - Red Light_0.tif:0614-0247,3135,0.28,0,85,0
39,24h_11 - Red Light_0.tif:0166-0508,1825,0.03,0,21,0
40,24h_11 - Red Light_0.tif:0140-0506,911,0.04,0,21,0
41,24h_11 - Red Light_0.tif:0123-0541,1108,0.16,0,49,0
42,24h_11 - Red Light_0.tif:0186-0560,864,0.16,0,29,0
43,24h_11 - Red Light_0.tif:0160-0564,935,0.04,0,20,0
