 ,Label,Area,Mean,Min,Max,%Area
1,24h_11 - Red Light_0.tif:0306-0735,7239,1.12,0,66,0
2,24h_11 - Red Light_0.tif:0238-0604,3237,4.71,0,85,0
3,24h_11 - Red Light_0.tif:0225-0636,2931,1.71,0,63,0
4,24h_11 - Red Light_0.tif:0146-0735,2956,15.94,0,85,0
5,24h_11 - Red Light_0.tif:0186-0713,1404,1.81,0,63,0
6,24h_11 - Red Light_0.tif:0193-0673,1685,1.32,0,78,0
7,24h_11 - Red Light_0.tif:0144-0686,1298,2.41,0,64,0
8,24h_11 - Red Light_0.tif:0436-0781,3773,7.49,0,85,0
9,24h_11 - Red Light_0.tif:0477-1128,2109,1.82,0,33,0
10,24h_11 - Red Light_0.tif:0504-1155,3847,8.00,0,85,0
11,24h_11 - Red Light_0.tif:0496-1200,1980,3.96,0,52,0
12,24h_11 - Red Light_0.tif:0643-1084,7188,2.52,0,85,0
13,24h_11 - Red Light_0.tif:0549-0108,2664,3.50,0,85,0
14,24h_11 - Red Light_0.tif:0544-0744,999,4.04,0,85,0
15,24h_11 - Red Light_0.tif:0558-0759,967,4.89,0,85,0
16,24h_11 - Red Light_0.tif:0640-0126,6626,2.13,0,85,0
17,24h_11 - Red Light_0.tif:0506-1040,750,9.07,0,57,0
18,24h_11 - Red Light_0.tif:0785-0912,7998,0.58,0,85,0
