 ,Label,Area,Mean,Min,Max,%Area
1,72h_35 - Red Light_1.tif:0380-0501,2414,1.23,0,85,0
2,72h_35 - Red Light_1.tif:0333-0502,1562,4.81,0,85,0
3,72h_35 - Red Light_1.tif:0207-1039,2869,7.70,0,85,0
4,72h_35 - Red Light_1.tif:0597-0656,2006,5.74,0,85,0
5,72h_35 - Red Light_1.tif:0641-0619,2606,8.45,0,85,0
6,72h_35 - Red Light_1.tif:0576-0596,1497,0.58,0,85,0
7,72h_35 - Red Light_1.tif:0741-0222,1378,4.35,0,85,0
8,72h_35 - Red Light_1.tif:0420-0570,1652,0.80,0,85,0
9,72h_35 - Red Light_1.tif:0432-0832,1465,1.15,0,85,0
10,72h_35 - Red Light_1.tif:0497-0810,1386,0.80,0,85,0
11,72h_35 - Red Light_1.tif:0577-0818,970,0.56,0,85,0
12,72h_35 - Red Light_1.tif:0570-0897,2683,0.37,0,85,0
13,72h_35 - Red Light_1.tif:0588-0553,1444,0.92,0,85,0
14,72h_35 - Red Light_1.tif:0525-0597,894,0.67,0,85,0
15,72h_35 - Red Light_1.tif:0542-0703,1768,0.58,0,85,0
16,72h_35 - Red Light_1.tif:0506-0623,1417,0.94,0,85,0
17,72h_35 - Red Light_1.tif:0453-0594,1337,0.42,0,85,0
18,72h_35 - Red Light_1.tif:0338-0684,1322,0.77,0,85,0
19,72h_35 - Red Light_1.tif:0393-0850,3815,0.75,0,85,0
20,72h_35 - Red Light_1.tif:0451-0923,1317,0.77,0,85,0
21,72h_35 - Red Light_1.tif:0515-0947,1363,1.06,0,85,0
22,72h_35 - Red Light_1.tif:0307-0570,1799,0.50,0,85,0
23,72h_35 - Red Light_1.tif:0482-0851,1481,0.67,0,85,0
24,72h_35 - Red Light_1.tif:0401-0917,1622,0.58,0,85,0
25,72h_35 - Red Light_1.tif:0292-0662,1813,0.62,0,85,0
26,72h_35 - Red Light_1.tif:0290-0630,1190,0.68,0,85,0
27,72h_35 - Red Light_1.tif:0311-0801,1084,0.73,0,85,0
28,72h_35 - Red Light_1.tif:0293-0772,836,0.39,0,85,0
29,72h_35 - Red Light_1.tif:0351-0771,1456,0.39,0,85,0
30,72h_35 - Red Light_1.tif:0332-0856,1500,1.47,0,85,0
31,72h_35 - Red Light_1.tif:0649-0718,724,0.47,0,85,0
32,72h_35 - Red Light_1.tif:0653-0681,1572,0.20,0,80,0
33,72h_35 - Red Light_1.tif:0616-0759,2767,0.36,0,85,0
34,72h_35 - Red Light_1.tif:0388-0292,3000,3.23,0,85,0
35,72h_35 - Red Light_1.tif:0340-0237,2405,0.63,0,85,0
36,72h_35 - Red Light_1.tif:0402-0448,2294,0.59,0,85,0
37,72h_35 - Red Light_1.tif:0500-0566,1233,0.85,0,85,0
38,72h_35 - Red Light_1.tif:0685-0823,2057,1.32,0,85,0
39,72h_35 - Red Light_1.tif:0703-0782,1263,1.53,0,85,0
40,72h_35 - Red Light_1.tif:0697-0732,3733,1.21,0,85,0
41,72h_35 - Red Light_1.tif:0692-0641,1471,0.49,0,85,0
42,72h_35 - Red Light_1.tif:0654-0788,814,0.44,0,85,0
43,72h_35 - Red Light_1.tif:0772-1057,5075,0.49,0,85,0
44,72h_35 - Red Light_1.tif:0548-1162,8630,0.75,0,85,0
45,72h_35 - Red Light_1.tif:0495-1107,2124,0.43,0,85,0
46,72h_35 - Red Light_1.tif:0206-0208,2459,1.49,0,85,0
47,72h_35 - Red Light_1.tif:0468-0490,2654,5.98,0,85,0
48,72h_35 - Red Light_1.tif:0508-0482,2494,0.78,0,85,0
49,72h_35 - Red Light_1.tif:0191-0589,1815,0.16,0,85,0
50,72h_35 - Red Light_1.tif:0251-0715,1785,0.43,0,85,0
51,72h_35 - Red Light_1.tif:0193-0759,1572,0.44,0,85,0
52,72h_35 - Red Light_1.tif:0157-0686,1709,0.46,0,85,0
53,72h_35 - Red Light_1.tif:0234-0521,1837,0.47,0,85,0
54,72h_35 - Red Light_1.tif:0221-0464,1450,1.82,0,85,0
55,72h_35 - Red Light_1.tif:0293-0371,1403,0.61,0,85,0
56,72h_35 - Red Light_1.tif:0287-0290,2620,0.39,0,85,0
57,72h_35 - Red Light_1.tif:0233-0276,1359,0.35,0,85,0
58,72h_35 - Red Light_1.tif:0499-0754,963,0.56,0,85,0
59,72h_35 - Red Light_1.tif:0552-0751,735,1.23,0,85,0
60,72h_35 - Red Light_1.tif:0611-0712,702,1.40,0,85,0
61,72h_35 - Red Light_1.tif:0409-0640,1192,2.13,0,85,0
62,72h_35 - Red Light_1.tif:0382-0592,6022,0.83,0,85,0
63,72h_35 - Red Light_1.tif:0613-0958,1319,0.40,0,85,0
64,72h_35 - Red Light_1.tif:0489-1179,1599,0.53,0,85,0
65,72h_35 - Red Light_1.tif:0446-1210,3487,0.42,0,85,0
66,72h_35 - Red Light_1.tif:0281-0914,1895,0.70,0,85,0
67,72h_35 - Red Light_1.tif:0269-0776,743,0.36,0,64,0
68,72h_35 - Red Light_1.tif:0537-0796,1490,3.38,0,85,0
69,72h_35 - Red Light_1.tif:0503-0894,1307,0.77,0,85,0
70,72h_35 - Red Light_1.tif:0539-0911,979,1.79,0,85,0
71,72h_35 - Red Light_1.tif:0717-0566,1071,2.57,0,85,0
72,72h_35 - Red Light_1.tif:0716-0608,687,1.68,0,85,0
73,72h_35 - Red Light_1.tif:0735-0644,1144,1.27,0,85,0
74,72h_35 - Red Light_1.tif:0791-0526,980,1.41,0,85,0
75,72h_35 - Red Light_1.tif:0768-0557,1099,6.55,0,85,0
76,72h_35 - Red Light_1.tif:0657-0559,1900,1.06,0,85,0
77,72h_35 - Red Light_1.tif:0617-0557,1054,0.60,0,85,0
78,72h_35 - Red Light_1.tif:0634-0587,736,0.75,0,85,0
79,72h_35 - Red Light_1.tif:0512-0657,1197,0.44,0,85,0
80,72h_35 - Red Light_1.tif:0534-0554,1625,0.51,0,85,0
81,72h_35 - Red Light_1.tif:0177-0442,1877,1.81,0,85,0
82,72h_35 - Red Light_1.tif:0432-0310,2239,7.46,0,85,0
83,72h_35 - Red Light_1.tif:0316-0423,2256,0.49,0,85,0
84,72h_35 - Red Light_1.tif:0154-0463,2017,0.53,0,85,0
85,72h_35 - Red Light_1.tif:0137-0434,1455,0.47,0,85,0
86,72h_35 - Red Light_1.tif:0164-0508,2031,0.58,0,85,0
87,72h_35 - Red Light_1.tif:0195-0725,1382,0.73,0,85,0
88,72h_35 - Red Light_1.tif:0337-0972,1875,2.17,0,85,0
89,72h_35 - Red Light_1.tif:0402-0753,1496,1.20,0,85,0
90,72h_35 - Red Light_1.tif:0427-0770,999,1.20,0,85,0
91,72h_35 - Red Light_1.tif:0474-0778,1183,0.74,0,85,0
92,72h_35 - Red Light_1.tif:0500-0665,1835,0.46,0,85,0
93,72h_35 - Red Light_1.tif:0492-0605,952,0.69,0,85,0
94,72h_35 - Red Light_1.tif:0337-0348,970,1.24,0,85,0
95,72h_35 - Red Light_1.tif:0415-0398,1183,0.64,0,85,0
96,72h_35 - Red Light_1.tif:0739-0738,2247,4.88,0,85,0
97,72h_35 - Red Light_1.tif:0790-0736,2352,3.27,0,85,0
98,72h_35 - Red Light_1.tif:0785-0775,1814,2.39,0,85,0
99,72h_35 - Red Light_1.tif:0806-0818,1336,0.88,0,85,0
100,72h_35 - Red Light_1.tif:0832-0523,1122,3.81,0,85,0
101,72h_35 - Red Light_1.tif:0728-0378,2079,1.41,0,85,0
102,72h_35 - Red Light_1.tif:0615-0402,1935,1.23,0,85,0
103,72h_35 - Red Light_1.tif:0603-0318,981,1.00,0,85,0
104,72h_35 - Red Light_1.tif:0631-0318,2022,0.37,0,85,0
105,72h_35 - Red Light_1.tif:0786-0318,3260,0.67,0,85,0
106,72h_35 - Red Light_1.tif:0661-0396,3939,0.59,0,85,0
107,72h_35 - Red Light_1.tif:0647-0443,2033,0.58,0,85,0
108,72h_35 - Red Light_1.tif:0636-1025,3783,0.91,0,85,0
109,72h_35 - Red Light_1.tif:0621-1003,2635,0.80,0,85,0
110,72h_35 - Red Light_1.tif:0590-0995,2161,1.05,0,85,0
111,72h_35 - Red Light_1.tif:0513-0976,1410,0.77,0,85,0
112,72h_35 - Red Light_1.tif:0202-1097,3070,1.00,0,85,0
