 ,Label,Area,Mean,Min,Max,X,Y,%Area
1,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0154-0088,1869,0.03,0,18,87.03,153.29,0
2,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0213-0048,1468,0.12,0,55,48.33,214.52,0
3,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0226-0125,2832,0.06,0,39,124.96,225.41,0
4,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0299-0177,1486,0.03,0,14,177.73,299.02,0
5,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0171-0266,3464,0.44,0,85,265.21,180.28,0
6,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0286-0274,1624,1.98,0,85,273.64,284.89,0
7,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0377-0245,1047,0.08,0,24,245.42,376.95,0
8,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0324-0434,2357,1.44,0,85,430.88,327.00,0
9,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0292-0509,3252,0.14,0,85,506.45,292.94,0
10,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0250-0574,3037,0.06,0,49,577.73,245.70,0
11,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0339-0606,6836,5.559E-3,0,35,607.82,329.67,0
12,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0182-0530,3516,0.06,0,41,531.55,182.15,0
13,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0101-0509,2948,1.85,0,85,508.28,102.11,0
14,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0034-0444,2557,0.29,0,68,442.95,33.66,0
15,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0118-0410,1147,0.31,0,56,410.39,118.53,0
16,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0091-0430,526,0.21,0,20,431.54,92.14,0
17,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0070-0374,698,0.16,0,23,373.95,69.62,0
18,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0160-0364,1135,0.07,0,18,363.73,159.98,0
19,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0244-0342,4817,0.04,0,85,349.37,242.81,0
20,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0311-0307,845,0.07,0,23,305.70,311.64,0
21,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0289-0328,786,1.272E-3,0,1,328.95,287.88,0
22,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0396-0689,2555,0.50,0,64,688.73,397.55,0
23,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0372-0737,999,0.67,0,50,738.30,370.87,0
24,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0422-0788,1686,0.65,0,64,788.81,416.85,0
