 ,Label,Area,Mean,Min,Max,X,Y,%Area
1,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0475-0597,3057,0.28,0,52,597.23,473.60,0
2,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0512-0657,1150,4.99,0,85,654.91,511.59,0
3,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0469-0658,1738,1.27,0,78,658.68,468.73,0
4,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0507-0700,1088,2.91,0,85,700.82,507.13,0
5,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0527-0682,945,1.20,0,49,682.85,530.18,0
6,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0537-0747,1368,3.22,0,85,749.05,536.16,0
7,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0568-0724,2221,1.82,0,85,723.02,568.86,0
8,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0584-0672,2708,0.66,0,64,675.81,580.57,0
9,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0531-0849,3650,6.31,0,85,850.64,532.70,0
10,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0554-0985,5121,0.12,0,43,983.96,554.79,0
11,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0634-0933,4102,0.35,0,62,934.72,635.91,0
12,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0682-1012,3644,3.85,0,85,1012.33,681.96,0
13,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0558-1153,3481,1.05,0,68,1156.41,560.33,0
14,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0502-1170,1200,1.32,0,82,1170.35,501.20,0
15,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0402-0318,2512,1.68,0,85,319.05,402.72,0
16,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0634-0197,1699,0.51,0,85,197.84,633.40,0
17,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0731-0124,950,0.75,0,61,125.48,732.02,0
18,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0781-0118,1846,0.01,0,20,118.41,780.58,0
19,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0804-0088,1256,0.62,0,85,87.79,805.55,0
20,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0847-0451,6734,13.64,0,85,451.36,847.86,0
21,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0870-0290,2234,8.82,0,85,292.24,870.39,0
22,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0829-0212,3218,0.33,0,59,213.37,829.62,0
23,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0863-0832,3184,0.48,0,67,829.93,861.34,0
24,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0810-0861,2534,0.38,0,76,860.63,810.99,0
25,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0808-0926,1483,5.10,0,85,927.36,808.12,0
26,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0879-0951,4096,0.84,0,85,945.93,875.77,0
27,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0830-1020,2194,0.59,0,85,1016.00,832.30,0
28,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0752-1076,2553,1.20,0,85,1075.78,751.57,0
29,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0707-1204,2390,1.04,0,85,1202.40,707.08,0
30,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0826-1174,2903,1.01,0,85,1177.97,825.89,0
31,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0765-1138,1257,5.15,0,85,1137.75,764.97,0
32,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0880-1212,1989,3.74,0,85,1212.35,882.09,0
33,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0918-1187,1375,1.01,0,52,1185.50,919.85,0
34,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0215-0846,2729,4.35,0,85,844.98,215.30,0
35,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0378-0402,1851,1.76,0,85,404.62,378.80,0
36,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0433-0383,1652,1.78,0,85,384.84,432.40,0
37,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0455-0350,2059,1.45,0,85,350.30,455.99,0
38,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0704-0501,7766,0.06,0,85,501.71,702.22,0
39,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0735-0652,2421,2.12,0,85,652.00,733.70,0
40,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0665-0657,1471,1.14,0,56,658.27,664.77,0
41,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0641-0586,2812,1.24,0,85,588.47,641.98,0
42,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0716-0585,1894,1.51,0,85,585.88,714.74,0
43,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0750-0560,1645,1.52,0,85,560.49,751.81,0
44,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0799-0600,1793,2.02,0,85,601.40,799.26,0
45,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0590-0568,2851,0.79,0,85,568.08,589.64,0
46,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0681-0364,2811,0.03,0,23,367.20,682.05,0
47,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0642-0438,665,6.07,0,85,437.37,642.30,0
48,4T1_Raw_1-4_72h_8 - Red Light_1.tif:0644-0503,611,5.75,0,85,503.04,643.78,0
