 ,Label,Area,Mean,Min,Max,%Area
1,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0162-0166,1185,0.24,0,35,0
2,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0195-0212,913,0.00,0,0,0
3,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0159-0219,1001,0.00,0,0,0
4,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0133-0249,1165,0.02,0,26,0
5,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0086-0236,1873,2.136E-3,0,1,0
6,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0262-0243,2684,0.04,0,28,0
7,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0316-0240,951,0.01,0,7,0
8,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0342-0251,1793,0.04,0,28,0
9,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0379-0342,564,0.00,0,0,0
10,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0485-0394,1132,0.05,0,52,0
11,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0468-0576,1561,1.922E-3,0,3,0
12,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0418-0555,2864,0.25,0,85,0
13,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0403-0590,1131,0.46,0,85,0
14,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0426-0604,1053,3.14,0,85,0
15,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0393-0638,859,2.80,0,85,0
16,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0443-0672,470,6.90,0,85,0
17,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0645-0718,3062,5.879E-3,0,14,0
18,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0559-0687,985,0.01,0,5,0
19,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0584-0708,1931,0.23,0,56,0
20,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0472-0754,846,0.15,0,78,0
21,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0471-0792,3017,0.05,0,85,0
22,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0417-0792,2836,0.40,0,35,0
23,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0389-0729,2628,0.06,0,80,0
24,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0355-0699,3512,0.21,0,85,0
25,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0310-0703,2718,1.54,0,85,0
26,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0243-0752,1063,0.90,0,85,0
27,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0348-0859,3739,0.16,0,85,0
28,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0220-0795,802,8.728E-3,0,7,0
29,4T1_Raw_2-1_72h_05 - Red Light_1.tif:0231-0828,1052,0.31,0,35,0
