 ,Label,Area,Mean,Min,Max,X,Y,%Area
1,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0263-0199,4289,3.497E-3,0,7,196.32,273.07,0
2,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0136-0540,1236,6.472E-3,0,5,539.24,136.99,0
3,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0137-0766,4840,0.22,0,85,770.15,140.77,0
4,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0062-0692,4772,0.00,0,0,697.77,66.14,0
5,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0204-0586,1248,0.14,0,29,586.43,202.77,0
6,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0268-0688,1408,0.00,0,0,688.43,267.53,0
7,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0319-0884,1134,0.03,0,21,884.95,319.68,0
8,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0361-0844,1499,0.00,0,0,843.01,360.40,0
9,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0156-0901,1771,0.00,0,0,903.79,156.62,0
10,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0059-0944,2567,0.01,0,10,943.68,59.98,0
11,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0357-0760,3290,6.079E-3,0,11,762.91,357.97,0
12,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0256-0375,2916,0.00,0,0,373.41,255.46,0
13,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0422-0336,1153,6.938E-3,0,6,337.25,419.93,0
14,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0378-0371,1316,0.00,0,0,374.65,391.14,0
15,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0328-0395,463,0.00,0,0,393.76,329.30,0
16,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0478-0338,1337,0.00,0,0,335.06,475.52,0
17,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0447-0372,1124,0.00,0,0,374.29,445.36,0
18,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0497-0431,905,0.00,0,0,429.67,493.75,0
19,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0478-0469,601,0.04,0,14,469.73,479.24,0
20,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0473-0537,1810,0.12,0,29,536.34,474.07,0
21,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0568-0449,2775,0.00,0,0,446.74,565.86,0
22,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0550-0723,3091,0.00,0,0,724.58,550.07,0
23,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0436-0687,830,1.42,0,85,687.01,435.91,0
24,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0486-0669,348,0.24,0,85,669.16,488.61,0
25,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0473-0715,1676,0.02,0,11,717.68,472.68,0
26,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0425-0800,1487,0.02,0,20,800.57,424.77,0
27,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0668-0976,1892,0.01,0,9,975.34,667.95,0
28,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0742-1021,1567,0.02,0,9,1020.75,743.43,0
29,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0710-1055,1147,0.14,0,27,1054.74,710.77,0
30,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0611-0486,2147,2.795E-3,0,6,485.11,614.03,0
31,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0745-0345,887,8.61,0,85,345.16,744.79,0
32,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0024-1051,1444,0.06,0,25,1050.71,23.11,0
33,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0077-1130,2154,0.25,0,21,1130.45,77.64,0
34,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0167-1073,5572,0.00,0,0,1071.87,163.28,0
35,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0208-1129,4705,0.00,0,0,1129.00,208.88,0
36,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0319-1202,1757,0.00,0,0,1200.33,318.21,0
37,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0620-1076,11378,0.00,0,0,1082.09,613.81,0
38,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0823-0466,852,0.03,0,9,465.65,825.09,0
39,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0825-0265,1619,0.00,0,0,266.30,826.75,0
40,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0896-0130,1947,0.03,0,12,131.38,898.27,0
41,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0777-0840,1386,2.165E-3,0,3,842.95,777.38,0
42,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0870-1031,2205,0.22,0,32,1029.38,865.68,0
43,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0882-1161,3150,1.21,0,65,1157.82,880.55,0
44,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0738-1249,1780,0.02,0,12,1248.18,737.58,0
