 ,Label,Area,Mean,Min,Max,X,Y,%Area
1,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0456-0064,4954,1.99,0,53,61.73,454.55,0
2,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0497-0095,3798,4.57,0,85,97.62,499.89,0
3,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0480-0196,3911,0.82,0,85,196.93,479.97,0
4,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0522-0374,2427,0.20,0,26,375.32,520.92,0
5,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0601-0567,5950,2.95,0,85,565.82,599.53,0
6,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0597-0673,1301,0.34,0,33,674.57,596.99,0
7,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0647-0707,2057,2.19,0,85,707.36,645.75,0
8,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0747-0668,2173,0.39,0,32,670.08,745.57,0
9,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0825-0632,1772,4.24,0,59,632.93,820.90,0
10,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0914-0633,5060,0.36,0,85,636.62,915.80,0
11,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0899-0412,1572,2.41,0,47,411.27,900.63,0
12,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0811-0512,1668,2.41,0,57,512.92,809.75,0
13,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0656-0095,1765,0.23,0,33,96.72,654.19,0
14,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0558-0068,3092,0.37,0,61,70.98,557.75,0
15,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0460-0060,4519,2.18,0,53,58.62,457.25,0
16,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0624-0049,3724,0.10,0,36,50.63,624.33,0
17,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0237-0464,3112,0.82,0,85,465.60,236.53,0
18,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0170-0348,1934,0.30,0,34,347.67,168.56,0
19,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0209-0402,1542,1.09,0,43,403.54,208.80,0
20,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0239-0326,1517,0.56,0,85,326.41,238.31,0
21,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0334-0231,3142,0.43,0,45,231.88,338.80,0
22,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0301-0282,2197,0.03,0,19,283.56,301.73,0
23,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0350-0329,1848,0.02,0,11,329.89,350.38,0
24,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0344-0096,1662,0.74,0,85,96.77,344.58,0
25,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0369-0046,1202,0.25,0,84,47.07,369.19,0
26,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0336-0473,2594,0.08,0,22,470.61,335.22,0
27,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0288-0442,2353,0.14,0,24,440.09,284.83,0
28,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0358-0983,2702,0.05,0,16,984.81,355.22,0
29,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0223-0832,3003,5.20,0,80,832.01,224.33,0
30,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0171-0473,1978,1.34,0,40,473.67,171.04,0
31,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0272-0647,1188,0.20,0,23,646.82,271.47,0
32,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0314-0695,1053,0.21,0,21,694.66,314.26,0
33,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0309-0776,2126,0.22,0,28,777.50,308.54,0
34,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0366-0667,1674,0.04,0,15,668.03,367.14,0
35,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0426-0759,1271,1.12,0,71,758.90,425.48,0
36,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0442-0917,831,2.27,0,41,917.89,442.48,0
37,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0484-0963,1317,1.37,0,42,962.25,484.14,0
38,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0446-1031,2154,0.31,0,29,1027.58,444.77,0
39,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0398-1159,4423,3.02,0,65,1158.30,400.11,0
40,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0478-0810,1447,0.35,0,28,809.51,476.21,0
41,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0503-0822,788,0.01,0,4,823.51,504.28,0
42,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0528-0877,1234,0.00,0,0,877.59,527.56,0
43,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0531-0916,1236,0.16,0,28,915.70,531.46,0
44,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0567-0951,1094,0.14,0,28,949.96,567.36,0
45,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0696-0898,3038,1.21,0,46,898.45,695.65,0
46,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0672-0858,1737,0.72,0,63,856.23,670.29,0
47,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0554-0820,1168,0.10,0,14,820.35,553.37,0
48,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0586-0814,870,1.18,0,32,813.47,585.70,0
49,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0777-0983,1656,7.97,0,83,984.03,777.23,0
50,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0780-0910,1700,2.37,0,56,911.78,778.66,0
51,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0789-0742,2592,1.64,0,85,743.42,787.16,0
52,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0924-0771,2151,4.90,0,85,771.17,923.08,0
53,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0831-0898,1997,0.34,0,34,899.26,827.72,0
54,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0778-1072,2565,3.32,0,61,1072.59,779.65,0
55,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0628-0213,2962,1.688E-3,0,5,212.27,628.68,0
56,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0825-0267,1569,0.00,0,0,266.35,824.67,0
57,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0897-0135,2134,0.03,0,12,134.05,898.69,0
58,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0146-0195,6852,0.17,0,33,192.76,144.54,0
59,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0043-0211,3699,0.40,0,32,214.17,42.39,0
60,4T1_Raw_1-4_72h_2 - Red Light_1.tif:0064-0359,2251,5.47,0,74,358.21,64.58,0
