 ,Label,Area,Mean,Min,Max,%Area
1,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0778-0771,2633,0.59,0,85,0
2,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0702-0729,1642,0.26,0,85,0
3,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0684-0772,2136,1.89,0,85,0
4,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0696-0747,2113,4.26,0,85,0
5,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0614-0740,2091,1.03,0,85,0
6,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0544-0725,2554,0.25,0,85,0
7,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0656-0595,2062,0.17,0,85,0
8,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0719-0689,4058,1.00,0,85,0
9,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0607-0675,3209,0.17,0,85,0
10,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0814-0594,3638,0.06,0,85,0
11,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0780-0351,4412,1.76,0,85,0
12,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0863-0111,2042,0.04,0,85,0
13,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0808-0112,2276,0.11,0,85,0
14,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0749-0112,1587,0.51,0,85,0
15,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0690-0189,2053,0.22,0,85,0
16,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0846-0047,4940,0.12,0,85,0
17,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0786-0082,1291,0.06,0,34,0
18,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0668-0049,1740,0.00,0,0,0
19,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0704-0049,2248,0.17,0,85,0
20,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0447-0055,3595,0.55,0,85,0
21,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0489-0325,1463,6.54,0,85,0
22,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0481-0303,3090,0.45,0,85,0
23,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0580-0373,3252,0.37,0,85,0
24,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0561-0316,1704,1.00,0,85,0
25,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0616-0330,1775,0.76,0,85,0
26,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0622-0258,3033,0.25,0,85,0
27,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0531-0271,1792,0.13,0,85,0
28,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0563-0936,4787,2.20,0,85,0
29,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0461-0806,2491,1.72,0,85,0
30,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0383-0776,1375,16.60,0,85,0
31,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0394-0821,1697,2.40,0,85,0
32,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0472-0880,3184,6.84,0,85,0
33,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0445-1029,2290,6.29,0,85,0
34,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0268-0762,2421,8.28,0,85,0
35,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0320-0806,4457,2.64,0,85,0
36,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0273-0848,2103,0.27,0,85,0
37,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0636-1213,2179,7.21,0,85,0
38,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0363-0601,1774,0.52,0,85,0
39,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0512-0479,2699,1.11,0,85,0
40,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0419-0527,1059,0.45,0,85,0
41,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0442-0534,931,3.90,0,85,0
42,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0393-0645,1385,0.25,0,85,0
43,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0479-0677,3214,2.50,0,85,0
44,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0532-0671,1334,0.37,0,85,0
45,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0426-0583,1681,0.31,0,85,0
46,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0414-0609,1149,0.69,0,85,0
47,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0461-0616,1353,0.43,0,85,0
48,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0483-0628,1670,1.84,0,85,0
49,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0383-0547,2607,0.88,0,85,0
50,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0484-1144,3953,1.00,0,85,0
51,4T1_Raw_2-1_0h_05 - Red Light_11.tif:0477-1083,2261,0.64,0,85,0
