 ,Label,Area,Mean,Min,Max,%Area
1,0h_10 - Red Light_11.tif:0300-0054,3907,0.03,0,38,0
2,0h_10 - Red Light_11.tif:0503-0173,4638,0.03,0,61,0
3,0h_10 - Red Light_11.tif:0355-0267,1478,0.03,0,42,0
4,0h_10 - Red Light_11.tif:0369-0336,4827,5.44,0,85,0
5,0h_10 - Red Light_11.tif:0416-0317,928,1.95,0,85,0
6,0h_10 - Red Light_11.tif:0430-0355,1778,1.58,0,85,0
7,0h_10 - Red Light_11.tif:0410-0427,2637,0.50,0,52,0
8,0h_10 - Red Light_11.tif:0416-0437,2067,0.24,0,52,0
9,0h_10 - Red Light_11.tif:0240-0396,1689,0.06,0,43,0
10,0h_10 - Red Light_11.tif:0267-0503,3183,0.02,0,37,0
11,0h_10 - Red Light_11.tif:0205-0585,7223,0.59,0,79,0
12,0h_10 - Red Light_11.tif:0315-0399,4078,0.23,0,65,0
13,0h_10 - Red Light_11.tif:0300-0589,1359,0.36,0,46,0
14,0h_10 - Red Light_11.tif:0270-0629,1821,0.02,0,8,0
15,0h_10 - Red Light_11.tif:0226-0676,1779,0.50,0,68,0
16,0h_10 - Red Light_11.tif:0324-0654,1068,0.31,0,78,0
17,0h_10 - Red Light_11.tif:0287-0693,1746,0.05,0,47,0
18,0h_10 - Red Light_11.tif:0364-0718,1610,0.18,0,85,0
19,0h_10 - Red Light_11.tif:0264-0813,3061,1.23,0,85,0
20,0h_10 - Red Light_11.tif:0294-0826,2034,0.00,0,0,0
21,0h_10 - Red Light_11.tif:0364-0800,1655,0.02,0,26,0
22,0h_10 - Red Light_11.tif:0377-0863,3204,0.03,0,33,0
23,0h_10 - Red Light_11.tif:0386-0818,1956,0.03,0,31,0
24,0h_10 - Red Light_11.tif:0453-0796,2251,0.06,0,85,0
25,0h_10 - Red Light_11.tif:0442-0855,2002,0.04,0,66,0
26,0h_10 - Red Light_11.tif:0250-1046,2624,0.03,0,29,0
27,0h_10 - Red Light_11.tif:0190-1074,2969,0.07,0,82,0
28,0h_10 - Red Light_11.tif:0315-1010,2474,0.00,0,0,0
29,0h_10 - Red Light_11.tif:0427-0944,2048,0.11,0,81,0
30,0h_10 - Red Light_11.tif:0385-0935,2241,0.00,0,0,0
31,0h_10 - Red Light_11.tif:0366-0991,907,0.03,0,26,0
32,0h_10 - Red Light_11.tif:0351-1046,3384,0.04,0,85,0
33,0h_10 - Red Light_11.tif:0367-1110,5520,0.09,0,85,0
34,0h_10 - Red Light_11.tif:0467-0339,1912,1.83,0,58,0
35,0h_10 - Red Light_11.tif:0477-0394,2766,1.66,0,82,0
36,0h_10 - Red Light_11.tif:0497-0240,1145,0.02,0,19,0
37,0h_10 - Red Light_11.tif:0561-0219,2392,0.35,0,74,0
38,0h_10 - Red Light_11.tif:0506-0266,1556,0.02,0,25,0
39,0h_10 - Red Light_11.tif:0550-0268,4653,0.08,0,65,0
40,0h_10 - Red Light_11.tif:0434-0670,2987,0.05,0,85,0
41,0h_10 - Red Light_11.tif:0458-0752,1895,0.10,0,42,0
42,0h_10 - Red Light_11.tif:0485-0817,1903,0.00,0,0,0
43,0h_10 - Red Light_11.tif:0487-0875,2374,0.02,0,17,0
44,0h_10 - Red Light_11.tif:0469-0895,1656,4.227E-3,0,5,0
45,0h_10 - Red Light_11.tif:0434-1022,2836,8.815E-3,0,16,0
46,0h_10 - Red Light_11.tif:0448-1069,1655,6.647E-3,0,11,0
47,0h_10 - Red Light_11.tif:0481-1119,2419,0.04,0,70,0
48,0h_10 - Red Light_11.tif:0455-1210,1925,0.00,0,0,0
49,0h_10 - Red Light_11.tif:0430-1218,1594,1.882E-3,0,3,0
50,0h_10 - Red Light_11.tif:0503-1219,2797,0.04,0,38,0
51,0h_10 - Red Light_11.tif:0574-1238,2882,0.01,0,27,0
52,0h_10 - Red Light_11.tif:0576-1209,1380,0.01,0,17,0
53,0h_10 - Red Light_11.tif:0517-1172,2543,0.02,0,28,0
54,0h_10 - Red Light_11.tif:0663-1215,8387,0.03,0,64,0
55,0h_10 - Red Light_11.tif:0590-1097,6229,0.05,0,85,0
56,0h_10 - Red Light_11.tif:0523-1073,2915,0.01,0,17,0
57,0h_10 - Red Light_11.tif:0478-0998,2447,0.02,0,21,0
58,0h_10 - Red Light_11.tif:0486-0958,1317,0.00,0,0,0
59,0h_10 - Red Light_11.tif:0594-1021,2314,0.58,0,85,0
60,0h_10 - Red Light_11.tif:0616-0996,1495,0.30,0,71,0
61,0h_10 - Red Light_11.tif:0711-1037,1918,0.37,0,74,0
62,0h_10 - Red Light_11.tif:0578-0939,3424,0.03,0,34,0
63,0h_10 - Red Light_11.tif:0544-0972,1069,0.07,0,19,0
64,0h_10 - Red Light_11.tif:0522-0922,1255,0.00,0,0,0
65,0h_10 - Red Light_11.tif:0518-0866,1901,0.02,0,27,0
66,0h_10 - Red Light_11.tif:0553-0806,4446,1.21,0,83,0
67,0h_10 - Red Light_11.tif:0646-0866,3750,0.05,0,45,0
68,0h_10 - Red Light_11.tif:0697-0796,3859,0.16,0,85,0
69,0h_10 - Red Light_11.tif:0774-0889,3108,0.11,0,85,0
70,0h_10 - Red Light_11.tif:0835-0976,1652,1.211E-3,0,2,0
71,0h_10 - Red Light_11.tif:0860-0972,1656,0.03,0,17,0
72,0h_10 - Red Light_11.tif:0818-1057,1930,0.10,0,53,0
73,0h_10 - Red Light_11.tif:0827-1080,1708,0.04,0,17,0
74,0h_10 - Red Light_11.tif:0162-0691,3401,0.95,0,85,0
75,0h_10 - Red Light_11.tif:0178-0729,1465,0.19,0,54,0
76,0h_10 - Red Light_11.tif:0151-0753,1139,0.19,0,85,0
77,0h_10 - Red Light_11.tif:0102-1008,6198,0.06,0,71,0
78,0h_10 - Red Light_11.tif:0142-1150,2851,0.44,0,68,0
79,0h_10 - Red Light_11.tif:0235-1211,2579,0.07,0,85,0
80,0h_10 - Red Light_11.tif:0245-0241,1548,0.06,0,32,0
81,0h_10 - Red Light_11.tif:0189-0213,1454,0.03,0,28,0
82,0h_10 - Red Light_11.tif:0782-0722,3827,0.26,0,85,0
83,0h_10 - Red Light_11.tif:0535-0538,3095,0.16,0,47,0
84,0h_10 - Red Light_11.tif:0598-0572,1825,0.01,0,19,0
85,0h_10 - Red Light_11.tif:0776-0572,3554,0.01,0,8,0
86,0h_10 - Red Light_11.tif:0792-0608,1789,0.04,0,23,0
87,0h_10 - Red Light_11.tif:0819-0619,1772,0.27,0,58,0
88,0h_10 - Red Light_11.tif:0842-0642,1506,0.60,0,85,0
89,0h_10 - Red Light_11.tif:0852-0684,2847,0.21,0,73,0
90,0h_10 - Red Light_11.tif:0824-0465,2130,1.49,0,85,0
91,0h_10 - Red Light_11.tif:0817-0502,816,1.225E-3,0,1,0
92,0h_10 - Red Light_11.tif:0832-0523,1605,0.39,0,78,0
93,0h_10 - Red Light_11.tif:0871-0526,2458,0.04,0,18,0
94,0h_10 - Red Light_11.tif:0843-0571,1244,0.15,0,44,0
95,0h_10 - Red Light_11.tif:0872-0567,1425,0.10,0,85,0
96,0h_10 - Red Light_11.tif:0896-1052,3568,0.01,0,37,0
97,0h_10 - Red Light_11.tif:0835-1144,3653,0.04,0,60,0
98,0h_10 - Red Light_11.tif:0858-0806,2883,7.87,0,85,0
99,0h_10 - Red Light_11.tif:0895-0818,2353,0.04,0,85,0
100,0h_10 - Red Light_11.tif:0833-0877,3281,0.00,0,0,0
101,0h_10 - Red Light_11.tif:0768-0240,3517,0.15,0,68,0
102,0h_10 - Red Light_11.tif:0853-0436,2087,0.13,0,52,0
103,0h_10 - Red Light_11.tif:0909-0504,3562,3.369E-3,0,7,0
104,0h_10 - Red Light_11.tif:0909-0579,2131,0.08,0,31,0
105,0h_10 - Red Light_11.tif:0886-0623,1527,0.08,0,45,0
106,0h_10 - Red Light_11.tif:0898-0646,1504,0.23,0,85,0
107,0h_10 - Red Light_11.tif:0891-0870,2232,0.02,0,38,0
108,0h_10 - Red Light_11.tif:0717-0972,3677,0.84,0,85,0
109,0h_10 - Red Light_11.tif:0300-0054,3907,0.03,0,38,0
110,0h_10 - Red Light_11.tif:0503-0173,4638,0.03,0,61,0
111,0h_10 - Red Light_11.tif:0355-0267,1478,0.03,0,42,0
112,0h_10 - Red Light_11.tif:0369-0336,4827,5.44,0,85,0
113,0h_10 - Red Light_11.tif:0416-0317,928,1.95,0,85,0
114,0h_10 - Red Light_11.tif:0430-0355,1778,1.58,0,85,0
115,0h_10 - Red Light_11.tif:0410-0427,2637,0.50,0,52,0
116,0h_10 - Red Light_11.tif:0416-0437,2067,0.24,0,52,0
117,0h_10 - Red Light_11.tif:0240-0396,1689,0.06,0,43,0
118,0h_10 - Red Light_11.tif:0267-0503,3183,0.02,0,37,0
119,0h_10 - Red Light_11.tif:0205-0585,7223,0.59,0,79,0
120,0h_10 - Red Light_11.tif:0315-0399,4078,0.23,0,65,0
