 ,Label,Area,Mean,Min,Max,%Area
1,0h_26 - Red Light_1.tif:0644-0411,4118,1.60,0,85,0
2,0h_26 - Red Light_1.tif:0370-0380,1798,0.00,0,0,0
3,0h_26 - Red Light_1.tif:0413-0840,2061,20.39,0,85,0
4,0h_26 - Red Light_1.tif:0377-0843,1218,18.34,0,85,0
5,0h_26 - Red Light_1.tif:0266-0578,2213,3.83,0,85,0
6,0h_26 - Red Light_1.tif:0803-0785,5787,2.64,0,85,0
7,0h_26 - Red Light_1.tif:0776-0442,2943,0.00,0,0,0
8,0h_26 - Red Light_1.tif:0516-0974,4419,0.62,0,85,0
9,0h_26 - Red Light_1.tif:0003-0393-0610,1188,2.05,0,85,0
10,0h_26 - Red Light_1.tif:0001-0374-0636,1319,2.00,0,85,0
11,0h_26 - Red Light_1.tif:0002-0148-0343,1629,0.17,0,85,0
12,0h_26 - Red Light_1.tif:0002-0174-0381,1466,2.35,0,85,0
13,0h_26 - Red Light_1.tif:0002-0154-0418,2598,0.46,0,85,0
14,0h_26 - Red Light_1.tif:0002-0210-0368,1783,0.00,0,0,0
15,0h_26 - Red Light_1.tif:0002-0400-0384,791,0.00,0,0,0
16,0h_26 - Red Light_1.tif:0002-0403-0421,1228,0.00,0,0,0
17,0h_26 - Red Light_1.tif:0001-0373-0432,763,0.00,0,0,0
18,0h_26 - Red Light_1.tif:0002-0607-0302,2142,0.00,0,0,0
19,0h_26 - Red Light_1.tif:0002-0565-0342,3849,0.01,0,18,0
20,0h_26 - Red Light_1.tif:0002-0689-0289,2053,0.00,0,0,0
21,0h_26 - Red Light_1.tif:0002-0732-0295,1346,0.60,0,85,0
22,0h_26 - Red Light_1.tif:0002-0696-0337,1684,0.15,0,85,0
23,0h_26 - Red Light_1.tif:0002-0727-0333,1085,3.08,0,85,0
24,0h_26 - Red Light_1.tif:0002-0757-0312,1023,3.36,0,85,0
25,0h_26 - Red Light_1.tif:0002-0785-0328,1826,0.53,0,85,0
26,0h_26 - Red Light_1.tif:0002-0812-0171,705,0.00,0,0,0
27,0h_26 - Red Light_1.tif:0002-0835-0145,982,0.00,0,0,0
28,0h_26 - Red Light_1.tif:0002-0825-0235,2309,1.51,0,85,0
29,0h_26 - Red Light_1.tif:0002-0826-0279,2619,0.04,0,40,0
30,0h_26 - Red Light_1.tif:0002-0880-0138,1089,8.264E-3,0,9,0
31,0h_26 - Red Light_1.tif:0002-0903-0174,1679,0.20,0,54,0
32,0h_26 - Red Light_1.tif:0002-0919-0209,1443,0.00,0,0,0
33,0h_26 - Red Light_1.tif:0002-0876-0353,3465,0.00,0,0,0
34,0h_26 - Red Light_1.tif:0002-0839-0175,830,1.57,0,85,0
35,0h_26 - Red Light_1.tif:0002-0900-0258,2214,1.46,0,85,0
36,0h_26 - Red Light_1.tif:0003-0905-0317,1284,0.00,0,0,0
37,0h_26 - Red Light_1.tif:0002-0905-0317,1284,0.00,0,0,0
38,0h_26 - Red Light_1.tif:0003-0920-0299,835,0.39,0,85,0
39,0h_26 - Red Light_1.tif:0002-0921-0300,834,0.39,0,85,0
40,0h_26 - Red Light_1.tif:0003-0942-0292,1032,1.95,0,85,0
41,0h_26 - Red Light_1.tif:0003-0434-0511,1264,6.05,0,85,0
42,0h_26 - Red Light_1.tif:0003-0448-0594,2414,0.00,0,0,0
43,0h_26 - Red Light_1.tif:0003-0434-0661,2872,0.55,0,85,0
44,0h_26 - Red Light_1.tif:0003-0381-0639,1372,2.07,0,85,0
45,0h_26 - Red Light_1.tif:0003-0403-0654,643,0.00,0,0,0
46,0h_26 - Red Light_1.tif:0003-0399-0681,669,0.00,0,0,0
47,0h_26 - Red Light_1.tif:0003-0311-0561,1422,1.67,0,85,0
48,0h_26 - Red Light_1.tif:0003-0280-0621,1767,0.17,0,85,0
49,0h_26 - Red Light_1.tif:0003-0307-0638,1329,0.52,0,85,0
50,0h_26 - Red Light_1.tif:0003-0269-0698,1807,0.09,0,85,0
51,0h_26 - Red Light_1.tif:0003-0230-0743,608,0.00,0,0,0
52,0h_26 - Red Light_1.tif:0003-0249-0728,578,0.00,0,0,0
53,0h_26 - Red Light_1.tif:0001-0250-0754,569,0.00,0,0,0
54,0h_26 - Red Light_1.tif:0003-0196-0774,2370,0.28,0,85,0
55,0h_26 - Red Light_1.tif:0003-0260-0811,2400,0.41,0,60,0
56,0h_26 - Red Light_1.tif:0003-0209-0824,2186,2.28,0,85,0
57,0h_26 - Red Light_1.tif:0003-0184-0804,980,4.64,0,85,0
58,0h_26 - Red Light_1.tif:0003-0364-0819,1017,3.73,0,85,0
59,0h_26 - Red Light_1.tif:0003-0339-0849,784,0.35,0,54,0
60,0h_26 - Red Light_1.tif:0003-0315-0865,1012,0.21,0,71,0
61,0h_26 - Red Light_1.tif:0003-0340-0905,1273,2.18,0,85,0
62,0h_26 - Red Light_1.tif:0003-0362-0879,1519,0.25,0,71,0
63,0h_26 - Red Light_1.tif:0003-0342-0785,1884,0.32,0,76,0
64,0h_26 - Red Light_1.tif:0003-0733-1060,2656,5.61,0,85,0
65,0h_26 - Red Light_1.tif:0003-0692-1065,1312,2.58,0,85,0
66,0h_26 - Red Light_1.tif:0003-0690-1031,1726,2.08,0,85,0
67,0h_26 - Red Light_1.tif:0003-0677-1001,922,3.50,0,85,0
68,0h_26 - Red Light_1.tif:0003-0704-0985,1175,3.87,0,85,0
69,0h_26 - Red Light_1.tif:0003-0900-1165,2116,0.10,0,85,0
70,0h_26 - Red Light_1.tif:0003-0936-1145,2371,0.22,0,74,0
71,0h_26 - Red Light_1.tif:0003-0860-0993,2409,6.52,0,85,0
72,0h_26 - Red Light_1.tif:0003-0895-0924,1303,0.00,0,0,0
73,0h_26 - Red Light_1.tif:0003-0852-0897,1006,0.00,0,0,0
74,0h_26 - Red Light_1.tif:0003-0816-0903,1212,0.00,0,0,0
