 ,Label,Area,Mean,Min,Max,%Area
1,0h_26 - Red Light_1.tif:0326-0412,1845,0.00,0,0,0
2,0h_26 - Red Light_1.tif:0290-0489,2155,0.00,0,0,0
3,0h_26 - Red Light_1.tif:0257-0540,1981,0.15,0,85,0
4,0h_26 - Red Light_1.tif:0229-0619,1573,0.01,0,22,0
5,0h_26 - Red Light_1.tif:0235-0662,3454,0.00,0,0,0
6,0h_26 - Red Light_1.tif:0326-0501,1943,0.00,0,0,0
7,0h_26 - Red Light_1.tif:0347-0448,2836,0.00,0,0,0
8,0h_26 - Red Light_1.tif:0362-0493,1643,0.00,0,0,0
9,0h_26 - Red Light_1.tif:0390-0493,2427,0.04,0,36,0
10,0h_26 - Red Light_1.tif:0355-0591,2451,0.29,0,85,0
11,0h_26 - Red Light_1.tif:0330-0598,2545,0.56,0,85,0
12,0h_26 - Red Light_1.tif:0295-0664,1080,1.95,0,85,0
13,0h_26 - Red Light_1.tif:0344-0646,2297,0.11,0,85,0
14,0h_26 - Red Light_1.tif:0347-0697,2025,0.00,0,0,0
15,0h_26 - Red Light_1.tif:0399-0761,3269,0.00,0,0,0
16,0h_26 - Red Light_1.tif:0343-0743,1488,0.00,0,0,0
17,0h_26 - Red Light_1.tif:0292-0762,1497,0.00,0,0,0
18,0h_26 - Red Light_1.tif:0254-0773,1402,0.00,0,0,0
19,0h_26 - Red Light_1.tif:0308-0825,2580,2.15,0,85,0
20,0h_26 - Red Light_1.tif:0268-0880,2253,1.07,0,85,0
21,0h_26 - Red Light_1.tif:0414-0795,1771,2.76,0,85,0
22,0h_26 - Red Light_1.tif:0298-0919,1479,0.37,0,85,0
23,0h_26 - Red Light_1.tif:0293-0993,3621,0.00,0,0,0
24,0h_26 - Red Light_1.tif:0324-1039,1861,0.00,0,0,0
25,0h_26 - Red Light_1.tif:0356-1099,2626,0.00,0,0,0
26,0h_26 - Red Light_1.tif:0332-0951,2442,0.03,0,34,0
27,0h_26 - Red Light_1.tif:0352-0998,1691,0.00,0,0,0
28,0h_26 - Red Light_1.tif:0369-0951,2246,0.01,0,31,0
29,0h_26 - Red Light_1.tif:0402-0888,1739,0.27,0,52,0
30,0h_26 - Red Light_1.tif:0400-0931,1699,0.00,0,0,0
31,0h_26 - Red Light_1.tif:0402-0984,3304,0.00,0,0,0
32,0h_26 - Red Light_1.tif:0400-1037,1422,0.00,0,0,0
33,0h_26 - Red Light_1.tif:0422-1059,1918,0.00,0,0,0
34,0h_26 - Red Light_1.tif:0403-1095,1862,0.00,0,0,0
35,0h_26 - Red Light_1.tif:0398-1139,1723,0.00,0,0,0
36,0h_26 - Red Light_1.tif:0351-1164,1305,0.00,0,0,0
37,0h_26 - Red Light_1.tif:0358-1205,2286,0.24,0,85,0
38,0h_26 - Red Light_1.tif:0302-1181,1143,0.00,0,0,0
39,0h_26 - Red Light_1.tif:0452-1157,2379,0.00,0,0,0
40,0h_26 - Red Light_1.tif:0460-1095,2092,0.00,0,0,0
