 ,Label,Area,Mean,Min,Max,X,Y,%Area
1,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0170-0129,1249,0.05,0,25,130.36,169.73,0
2,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0218-0116,1229,0.62,0,85,116.66,217.73,0
3,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0197-0192,1371,4.37,0,85,192.75,197.30,0
4,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0142-0243,2346,0.01,0,25,243.69,141.20,0
5,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0307-0057,1662,0.41,0,85,57.09,305.79,0
6,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0313-0116,1651,0.00,0,0,115.94,314.76,0
7,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0255-0162,1444,0.79,0,85,162.33,254.37,0
8,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0342-0048,659,0.00,0,0,48.19,342.52,0
9,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0380-0019,981,0.00,0,0,18.30,381.10,0
10,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0390-0077,981,5.097E-3,0,5,77.51,391.19,0
11,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0425-0168,1978,0.08,0,85,170.65,425.10,0
12,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0333-0211,1199,0.95,0,85,211.12,333.56,0
13,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0533-0148,1917,0.10,0,55,147.84,533.21,0
14,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0613-0205,1857,0.38,0,85,205.54,612.44,0
15,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0585-0120,978,5.112E-3,0,5,119.94,587.28,0
16,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0562-0095,728,0.00,0,0,93.55,562.99,0
17,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0578-0072,783,0.04,0,25,73.49,578.06,0
18,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0535-0035,1213,4.122E-3,0,5,35.12,535.76,0
19,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0476-0063,777,0.00,0,0,63.77,475.73,0
20,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0487-0039,466,0.00,0,0,39.45,487.31,0
21,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0485-0013,583,0.00,0,0,13.71,485.78,0
22,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0620-0029,1497,0.00,0,0,29.05,620.60,0
23,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0640-0082,1656,0.31,0,55,82.48,639.82,0
24,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0782-0052,946,0.30,0,85,52.68,781.68,0
25,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0701-0084,1167,0.27,0,65,84.16,700.56,0
26,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0855-0310,1310,0.00,0,0,310.66,854.90,0
27,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0892-0364,1285,0.01,0,9,364.52,893.09,0
28,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0408-0259,1487,0.21,0,75,260.08,408.80,0
29,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0361-0319,1544,9.715E-3,0,15,318.31,360.29,0
30,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0260-0285,1394,0.01,0,15,286.01,260.02,0
31,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0243-0361,2233,3.95,0,85,362.57,243.84,0
32,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0334-0375,1569,2.25,0,85,376.25,332.55,0
33,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0316-0437,2317,0.01,0,25,435.13,317.57,0
34,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0260-0452,1649,1.819E-3,0,3,455.17,261.15,0
35,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0211-0495,1418,0.09,0,16,495.82,211.24,0
36,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0455-0356,604,0.02,0,8,356.92,454.20,0
37,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0478-0239,884,0.07,0,25,239.53,477.95,0
38,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0505-0391,908,0.03,0,24,390.91,505.41,0
39,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0516-0334,836,0.00,0,0,333.72,515.48,0
40,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0545-0358,1733,0.00,0,0,359.43,544.14,0
41,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0568-0432,868,3.89,0,85,431.10,569.12,0
42,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0608-0377,950,4.32,0,85,378.17,607.35,0
43,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0626-0318,979,3.064E-3,0,3,317.99,626.97,0
44,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0661-0373,664,0.42,0,85,373.34,661.12,0
45,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0672-0413,1019,0.09,0,55,413.18,671.93,0
46,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0703-0433,636,6.41,0,85,433.14,704.04,0
47,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0712-0387,658,2.97,0,85,388.11,711.86,0
48,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0717-0521,899,2.55,0,85,520.42,716.69,0
49,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0650-0476,1133,0.07,0,81,477.43,649.79,0
50,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0608-0491,992,0.38,0,55,491.34,608.18,0
51,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0746-0455,528,0.90,0,81,455.88,746.19,0
52,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0741-0488,640,0.17,0,34,488.35,741.58,0
53,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0745-0539,653,1.80,0,85,539.49,745.69,0
54,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0732-0562,632,0.60,0,85,562.64,731.50,0
55,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0715-0585,695,0.55,0,85,585.56,713.85,0
56,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0772-0540,418,0.06,0,16,539.55,771.86,0
57,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0759-0565,408,4.70,0,85,565.58,759.17,0
58,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0785-0559,573,0.27,0,85,559.20,786.07,0
59,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0784-0607,947,3.01,0,85,607.43,783.81,0
60,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0834-0558,1067,4.59,0,85,558.14,834.40,0
61,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0750-0623,992,1.54,0,85,623.14,750.28,0
62,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0671-0562,1048,0.29,0,85,563.05,670.62,0
63,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0804-0655,850,0.06,0,22,655.81,804.74,0
64,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0906-0586,1599,0.00,0,0,586.73,906.62,0
65,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0860-0649,458,0.00,0,0,650.67,859.55,0
66,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0872-0671,412,0.00,0,0,671.01,872.91,0
67,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0882-0716,1235,0.89,0,82,717.02,881.80,0
68,4T1_Raw_1-4_24h_8 - Red Light_1.tif:0920-0753,1529,0.17,0,34,752.79,919.91,0
