 ,Label,Area,Mean,Min,Max,%Area
1,72h_4 - Red Light_11.tif:0084-0034,1255,0.28,0,20,0
2,72h_4 - Red Light_11.tif:0099-0100,1625,0.01,0,10,0
3,72h_4 - Red Light_11.tif:0175-0101,2012,0.00,0,0,0
4,72h_4 - Red Light_11.tif:0174-0037,1639,0.01,0,7,0
5,72h_4 - Red Light_11.tif:0189-0076,1519,0.00,0,0,0
6,72h_4 - Red Light_11.tif:0229-0049,1127,8.873E-4,0,1,0
7,72h_4 - Red Light_11.tif:0264-0052,2105,0.00,0,0,0
8,72h_4 - Red Light_11.tif:0262-0088,1467,1.363E-3,0,1,0
9,72h_4 - Red Light_11.tif:0182-0137,905,1.105E-3,0,1,0
10,72h_4 - Red Light_11.tif:0208-0143,660,0.07,0,14,0
11,72h_4 - Red Light_11.tif:0224-0154,1547,7.757E-3,0,9,0
12,72h_4 - Red Light_11.tif:0253-0167,1307,0.02,0,14,0
13,72h_4 - Red Light_11.tif:0248-0202,1523,0.00,0,0,0
14,72h_4 - Red Light_11.tif:0100-0135,1660,0.00,0,0,0
15,72h_4 - Red Light_11.tif:0123-0170,2325,0.00,0,0,0
16,72h_4 - Red Light_11.tif:0111-0202,2614,0.00,0,0,0
17,72h_4 - Red Light_11.tif:0084-0218,1278,0.00,0,0,0
18,72h_4 - Red Light_11.tif:0050-0242,1702,0.00,0,0,0
19,72h_4 - Red Light_11.tif:0080-0260,874,0.19,0,26,0
20,72h_4 - Red Light_11.tif:0103-0246,474,0.12,0,11,0
21,72h_4 - Red Light_11.tif:0031-0207,1382,0.00,0,0,0
22,72h_4 - Red Light_11.tif:0028-0170,1558,1.926E-3,0,3,0
23,72h_4 - Red Light_11.tif:0200-0240,1555,0.03,0,18,0
24,72h_4 - Red Light_11.tif:0274-0291,988,0.00,0,0,0
25,72h_4 - Red Light_11.tif:0300-0300,847,0.07,0,21,0
26,72h_4 - Red Light_11.tif:0303-0257,861,0.00,0,0,0
27,72h_4 - Red Light_11.tif:0251-0242,973,0.00,0,0,0
28,72h_4 - Red Light_11.tif:0042-0341,620,0.05,0,9,0
29,72h_4 - Red Light_11.tif:0021-0370,620,0.06,0,12,0
30,72h_4 - Red Light_11.tif:0012-0336,472,0.39,0,19,0
31,72h_4 - Red Light_11.tif:0166-0399,1156,0.00,0,0,0
32,72h_4 - Red Light_11.tif:0194-0433,3594,0.00,0,0,0
33,72h_4 - Red Light_11.tif:0223-0414,845,0.00,0,0,0
34,72h_4 - Red Light_11.tif:0163-0470,1155,6.926E-3,0,8,0
35,72h_4 - Red Light_11.tif:0183-0490,877,0.00,0,0,0
36,72h_4 - Red Light_11.tif:0142-0518,1451,0.00,0,0,0
37,72h_4 - Red Light_11.tif:0103-0463,885,0.00,0,0,0
38,72h_4 - Red Light_11.tif:0059-0457,536,0.00,0,0,0
39,72h_4 - Red Light_11.tif:0024-0444,614,0.00,0,0,0
40,72h_4 - Red Light_11.tif:0026-0463,743,0.00,0,0,0
41,72h_4 - Red Light_11.tif:0070-0496,1110,0.00,0,0,0
42,72h_4 - Red Light_11.tif:0066-0531,621,0.00,0,0,0
43,72h_4 - Red Light_11.tif:0060-0558,832,0.00,0,0,0
44,72h_4 - Red Light_11.tif:0032-0522,1148,0.00,0,0,0
45,72h_4 - Red Light_11.tif:0069-0585,1179,0.00,0,0,0
46,72h_4 - Red Light_11.tif:0101-0552,851,0.00,0,0,0
47,72h_4 - Red Light_11.tif:0101-0594,1046,0.00,0,0,0
48,72h_4 - Red Light_11.tif:0062-0635,2853,0.00,0,0,0
49,72h_4 - Red Light_11.tif:0044-0674,992,0.40,0,46,0
50,72h_4 - Red Light_11.tif:0104-0681,1791,0.07,0,19,0
51,72h_4 - Red Light_11.tif:0080-0734,1434,0.00,0,0,0
52,72h_4 - Red Light_11.tif:0062-0759,2035,0.06,0,28,0
53,72h_4 - Red Light_11.tif:0071-0817,1872,0.04,0,15,0
54,72h_4 - Red Light_11.tif:0110-0769,1533,0.00,0,0,0
55,72h_4 - Red Light_11.tif:0132-0838,1977,0.01,0,10,0
56,72h_4 - Red Light_11.tif:0194-0861,1844,0.03,0,32,0
57,72h_4 - Red Light_11.tif:0265-0823,1406,0.00,0,0,0
58,72h_4 - Red Light_11.tif:0229-0906,2232,0.00,0,0,0
59,72h_4 - Red Light_11.tif:0258-0885,3146,6.357E-3,0,13,0
60,72h_4 - Red Light_11.tif:0031-1063,2248,0.05,0,12,0
61,72h_4 - Red Light_11.tif:0075-1059,957,0.61,0,28,0
62,72h_4 - Red Light_11.tif:0082-1091,2286,6.999E-3,0,5,0
63,72h_4 - Red Light_11.tif:0128-1126,2000,0.16,0,23,0
64,72h_4 - Red Light_11.tif:0131-1026,1460,2.740E-3,0,4,0
65,72h_4 - Red Light_11.tif:0178-1019,1384,0.00,0,0,0
66,72h_4 - Red Light_11.tif:0182-1070,1549,2.582E-3,0,3,0
67,72h_4 - Red Light_11.tif:0212-1025,1687,0.11,0,33,0
68,72h_4 - Red Light_11.tif:0183-1195,1929,0.00,0,0,0
69,72h_4 - Red Light_11.tif:0204-1201,689,0.00,0,0,0
70,72h_4 - Red Light_11.tif:0219-1204,727,0.00,0,0,0
71,72h_4 - Red Light_11.tif:0258-1230,1625,7.385E-3,0,6,0
72,72h_4 - Red Light_11.tif:0295-1258,550,0.03,0,4,0
73,72h_4 - Red Light_11.tif:0353-1236,772,5.181E-3,0,3,0
74,72h_4 - Red Light_11.tif:0069-1195,10815,0.17,0,53,0
75,72h_4 - Red Light_11.tif:0403-1058,17196,0.02,0,31,0
76,72h_4 - Red Light_11.tif:0385-0961,1017,0.00,0,0,0
77,72h_4 - Red Light_11.tif:0291-0939,1046,0.00,0,0,0
78,72h_4 - Red Light_11.tif:0348-0920,842,0.00,0,0,0
79,72h_4 - Red Light_11.tif:0326-0889,2090,1.435E-3,0,2,0
80,72h_4 - Red Light_11.tif:0371-0883,1197,0.00,0,0,0
81,72h_4 - Red Light_11.tif:0426-1240,1265,0.22,0,15,0
82,72h_4 - Red Light_11.tif:0412-1264,524,0.64,0,15,0
83,72h_4 - Red Light_11.tif:0549-1192,1011,0.00,0,0,0
84,72h_4 - Red Light_11.tif:0592-1205,3109,2.07,0,85,0
85,72h_4 - Red Light_11.tif:0535-1242,1074,0.00,0,0,0
86,72h_4 - Red Light_11.tif:0560-1248,845,0.16,0,85,0
87,72h_4 - Red Light_11.tif:0631-1153,1163,0.00,0,0,0
88,72h_4 - Red Light_11.tif:0627-1094,544,0.00,0,0,0
