 ,Label,Area,Mean,Min,Max,%Area
1,4T1_Raw_2-1_24h_09 - Red Light_11.tif:0232-0436,1331,3.32,0,85,0
2,4T1_Raw_2-1_24h_09 - Red Light_11.tif:0200-0461,854,1.69,0,85,0
3,4T1_Raw_2-1_24h_09 - Red Light_11.tif:0235-0472,692,0.61,0,85,0
4,4T1_Raw_2-1_24h_09 - Red Light_11.tif:0191-0430,978,1.29,0,85,0
5,4T1_Raw_2-1_24h_09 - Red Light_11.tif:0842-0653,745,17.09,0,85,0
6,4T1_Raw_2-1_24h_09 - Red Light_11.tif:0806-0674,979,26.87,0,85,0
7,4T1_Raw_2-1_24h_09 - Red Light_11.tif:0811-0642,788,24.81,0,85,0
8,4T1_Raw_2-1_24h_09 - Red Light_11.tif:0410-0631,1075,5.99,0,85,0
9,4T1_Raw_2-1_24h_09 - Red Light_11.tif:0418-0592,835,10.00,0,85,0
10,4T1_Raw_2-1_24h_09 - Red Light_11.tif:0530-0636,1119,2.83,0,85,0
11,4T1_Raw_2-1_24h_09 - Red Light_11.tif:0762-0200,3165,3.22,0,85,0
12,4T1_Raw_2-1_24h_09 - Red Light_11.tif:0064-0326,1741,21.58,0,85,0
13,4T1_Raw_2-1_24h_09 - Red Light_11.tif:0640-0155,1836,1.22,0,85,0
14,4T1_Raw_2-1_24h_09 - Red Light_11.tif:0501-0319,1398,1.88,0,85,0
15,4T1_Raw_2-1_24h_09 - Red Light_11.tif:0470-0361,1215,0.46,0,85,0
16,4T1_Raw_2-1_24h_09 - Red Light_11.tif:0438-0348,1019,5.25,0,85,0
17,4T1_Raw_2-1_24h_09 - Red Light_11.tif:0468-0316,1086,1.01,0,85,0
18,4T1_Raw_2-1_24h_09 - Red Light_11.tif:0647-1093,1169,3.31,0,85,0
19,4T1_Raw_2-1_24h_09 - Red Light_11.tif:0678-1095,951,13.38,0,85,0
20,4T1_Raw_2-1_24h_09 - Red Light_11.tif:0247-1143,418,8.27,0,85,0
21,4T1_Raw_2-1_24h_09 - Red Light_11.tif:0926-0736,815,4.77,0,85,0
22,4T1_Raw_2-1_24h_09 - Red Light_11.tif:0943-0940,1045,3.81,0,85,0
23,4T1_Raw_2-1_24h_09 - Red Light_11.tif:0947-0900,826,0.42,0,85,0
24,4T1_Raw_2-1_24h_09 - Red Light_11.tif:0258-0681,1987,2.78,0,85,0
25,4T1_Raw_2-1_24h_09 - Red Light_11.tif:0310-0661,1286,0.45,0,85,0
26,4T1_Raw_2-1_24h_09 - Red Light_11.tif:0345-0632,1581,0.18,0,85,0
27,4T1_Raw_2-1_24h_09 - Red Light_11.tif:0292-0462,721,1.66,0,85,0
28,4T1_Raw_2-1_24h_09 - Red Light_11.tif:0856-0407,1271,0.60,0,85,0
