 ,Label,Area,Mean,Min,Max,%Area
1,72h_5 - Red Light_1.tif:0257-0597,2414,36.35,0,85,0
2,72h_5 - Red Light_1.tif:0268-0659,1814,31.34,0,85,0
3,72h_5 - Red Light_1.tif:0328-0743,883,4.91,0,37,0
4,72h_5 - Red Light_1.tif:0351-0890,1198,27.66,0,85,0
5,72h_5 - Red Light_1.tif:0481-0832,1698,38.94,0,85,0
6,72h_5 - Red Light_1.tif:0540-0899,2566,2.77,0,68,0
7,72h_5 - Red Light_1.tif:0685-0903,9941,7.36,0,85,0
8,72h_5 - Red Light_1.tif:0333-0388,9456,2.17,0,85,0
9,72h_5 - Red Light_1.tif:0371-0423,880,26.61,0,85,0
10,72h_5 - Red Light_1.tif:0362-0342,651,33.47,0,85,0
11,72h_5 - Red Light_1.tif:0557-0327,1357,25.15,0,81,0
12,72h_5 - Red Light_1.tif:0523-0332,1048,4.14,0,38,0
13,72h_5 - Red Light_1.tif:0477-0208,660,14.01,0,48,0
14,72h_5 - Red Light_1.tif:0612-0176,1475,9.97,0,41,0
15,72h_5 - Red Light_1.tif:0889-0591,743,19.22,0,58,0
16,72h_5 - Red Light_1.tif:0829-0732,982,28.02,0,85,0
17,72h_5 - Red Light_1.tif:0741-0609,1990,3.03,0,50,0
18,72h_5 - Red Light_1.tif:0642-0513,498,17.81,0,49,0
19,72h_5 - Red Light_1.tif:0213-0934,4779,21.06,0,85,0
20,72h_5 - Red Light_1.tif:0251-0968,630,42.97,0,85,0
21,72h_5 - Red Light_1.tif:0295-1166,7996,1.02,0,50,0
22,72h_5 - Red Light_1.tif:0088-1090,5576,1.05,0,31,0
23,72h_5 - Red Light_1.tif:0541-0589,650,13.78,0,45,0
24,72h_5 - Red Light_1.tif:0801-0986,457,2.95,0,24,0
25,72h_5 - Red Light_1.tif:0691-1059,2553,14.29,0,72,0
26,72h_5 - Red Light_1.tif:0293-0959,773,8.09,0,39,0
27,72h_5 - Red Light_1.tif:0530-1197,1000,5.74,0,57,0
