 ,Label,Area,Mean,Min,Max,%Area
1,72h_5 - Red Light_1.tif:0020-0044,587,0.01,0,5,0
2,72h_5 - Red Light_1.tif:0053-0034,1172,0.00,0,0,0
3,72h_5 - Red Light_1.tif:0115-0052,1320,0.75,0,52,0
4,72h_5 - Red Light_1.tif:0168-0058,1309,0.20,0,20,0
5,72h_5 - Red Light_1.tif:0198-0056,776,0.04,0,20,0
6,72h_5 - Red Light_1.tif:0208-0027,518,1.01,0,28,0
7,72h_5 - Red Light_1.tif:0227-0035,468,0.00,0,0,0
8,72h_5 - Red Light_1.tif:0263-0068,718,0.91,0,21,0
9,72h_5 - Red Light_1.tif:0298-0072,2037,0.64,0,39,0
10,72h_5 - Red Light_1.tif:0287-0114,931,1.80,0,36,0
11,72h_5 - Red Light_1.tif:0304-0125,1713,1.60,0,44,0
12,72h_5 - Red Light_1.tif:0336-0082,693,4.66,0,38,0
13,72h_5 - Red Light_1.tif:0354-0100,504,1.22,0,50,0
14,72h_5 - Red Light_1.tif:0368-0131,1443,0.51,0,22,0
15,72h_5 - Red Light_1.tif:0365-0171,2143,0.27,0,35,0
16,72h_5 - Red Light_1.tif:0377-0216,1014,0.96,0,29,0
17,72h_5 - Red Light_1.tif:0419-0228,618,2.39,0,38,0
18,72h_5 - Red Light_1.tif:0409-0264,1490,0.12,0,19,0
19,72h_5 - Red Light_1.tif:0383-0055,899,2.73,0,49,0
20,72h_5 - Red Light_1.tif:0361-0066,324,0.95,0,41,0
21,72h_5 - Red Light_1.tif:0389-0091,781,0.14,0,11,0
22,72h_5 - Red Light_1.tif:0415-0116,910,0.15,0,25,0
23,72h_5 - Red Light_1.tif:0440-0102,963,0.13,0,15,0
24,72h_5 - Red Light_1.tif:0469-0072,1687,0.01,0,11,0
25,72h_5 - Red Light_1.tif:0412-0044,1410,0.48,0,39,0
26,72h_5 - Red Light_1.tif:0428-0023,1069,0.07,0,17,0
27,72h_5 - Red Light_1.tif:0512-0034,1261,0.25,0,38,0
28,72h_5 - Red Light_1.tif:0514-0128,811,0.30,0,15,0
29,72h_5 - Red Light_1.tif:0527-0174,1179,0.05,0,12,0
30,72h_5 - Red Light_1.tif:0050-0125,4969,1.10,0,85,0
31,72h_5 - Red Light_1.tif:0191-0183,1088,0.92,0,29,0
32,72h_5 - Red Light_1.tif:0185-0229,709,0.29,0,19,0
33,72h_5 - Red Light_1.tif:0056-0258,1926,0.11,0,17,0
34,72h_5 - Red Light_1.tif:0037-0309,2565,1.559E-3,0,4,0
35,72h_5 - Red Light_1.tif:0026-0379,1827,0.02,0,8,0
36,72h_5 - Red Light_1.tif:0064-0367,1464,0.40,0,44,0
37,72h_5 - Red Light_1.tif:0074-0422,2171,0.12,0,22,0
38,72h_5 - Red Light_1.tif:0061-0469,1875,0.08,0,18,0
39,72h_5 - Red Light_1.tif:0033-0489,905,0.02,0,7,0
40,72h_5 - Red Light_1.tif:0022-0511,815,0.20,0,23,0
41,72h_5 - Red Light_1.tif:0103-0503,1024,0.16,0,28,0
42,72h_5 - Red Light_1.tif:0146-0511,722,0.22,0,12,0
