 ,Label,Area,Mean,Min,Max,%Area
1,0h_27 - Red Light_1.tif:0455-0768,2291,5.04,0,85,0
2,0h_27 - Red Light_1.tif:0518-0755,2436,2.96,0,85,0
3,0h_27 - Red Light_1.tif:0531-0694,2160,14.79,0,85,0
4,0h_27 - Red Light_1.tif:0501-0504,2979,0.01,0,17,0
5,0h_27 - Red Light_1.tif:0576-0700,915,1.41,0,54,0
6,0h_27 - Red Light_1.tif:0591-0683,864,1.71,0,42,0
7,0h_27 - Red Light_1.tif:0649-0666,3549,0.00,0,0,0
8,0h_27 - Red Light_1.tif:0604-0638,1292,0.00,0,0,0
9,0h_27 - Red Light_1.tif:0629-0720,959,0.00,0,0,0
10,0h_27 - Red Light_1.tif:0604-0727,964,0.00,0,0,0
11,0h_27 - Red Light_1.tif:0622-0893,1679,1.99,0,85,0
12,0h_27 - Red Light_1.tif:0505-0365,1549,2.11,0,85,0
13,0h_27 - Red Light_1.tif:0545-0326,3714,4.40,0,85,0
14,0h_27 - Red Light_1.tif:0472-0335,3339,0.34,0,85,0
15,0h_27 - Red Light_1.tif:0421-0288,4336,1.74,0,85,0
16,0h_27 - Red Light_1.tif:0742-0349,2695,0.00,0,0,0
17,0h_27 - Red Light_1.tif:0620-0415,2377,0.07,0,35,0
18,0h_27 - Red Light_1.tif:0717-0325,1959,0.00,0,0,0
19,0h_27 - Red Light_1.tif:0669-0345,1962,0.00,0,0,0
20,0h_27 - Red Light_1.tif:0579-0371,1585,4.13,0,76,0
21,0h_27 - Red Light_1.tif:0606-0351,1145,0.00,0,0,0
22,0h_27 - Red Light_1.tif:0613-0390,1255,0.00,0,0,0
23,0h_27 - Red Light_1.tif:0628-0337,1666,0.00,0,0,0
24,0h_27 - Red Light_1.tif:0770-0304,3121,0.00,0,0,0
25,0h_27 - Red Light_1.tif:0645-0080,3886,1.16,0,85,0
26,0h_27 - Red Light_1.tif:0680-0185,1904,2.06,0,66,0
27,0h_27 - Red Light_1.tif:0682-0223,1834,0.14,0,85,0
28,0h_27 - Red Light_1.tif:0003-0442-0520,1173,0.00,0,0,0
29,0h_27 - Red Light_1.tif:0003-0400-0511,1793,0.00,0,0,0
30,0h_27 - Red Light_1.tif:0003-0298-0539,1868,0.09,0,31,0
31,0h_27 - Red Light_1.tif:0003-0266-0409,2198,2.52,0,79,0
32,0h_27 - Red Light_1.tif:0003-0242-0499,1994,0.10,0,32,0
33,0h_27 - Red Light_1.tif:0003-0304-0275,889,0.77,0,75,0
34,0h_27 - Red Light_1.tif:0003-0314-0299,637,4.61,0,85,0
35,0h_27 - Red Light_1.tif:0003-0283-0301,752,0.32,0,40,0
36,0h_27 - Red Light_1.tif:0003-0264-0292,740,0.00,0,0,0
37,0h_27 - Red Light_1.tif:0003-0248-0282,667,0.00,0,0,0
38,0h_27 - Red Light_1.tif:0003-0208-0303,815,0.00,0,0,0
39,0h_27 - Red Light_1.tif:0003-0273-0233,1461,0.00,0,0,0
40,0h_27 - Red Light_1.tif:0003-0814-0321,1291,0.00,0,0,0
41,0h_27 - Red Light_1.tif:0003-0896-0304,2367,3.35,0,66,0
42,0h_27 - Red Light_1.tif:0003-0913-0334,1802,1.57,0,58,0
