 ,Label,Area,Mean,Min,Max,X,Y,%Area
1,4T1_Raw_1-4_24h_7 - Red Light_1:0073-0155,1767,0.48,0,28,156.54,72.99,0
2,4T1_Raw_1-4_24h_7 - Red Light_1:0228-0100,2077,6.03,0,85,99.48,228.15,0
3,4T1_Raw_1-4_24h_7 - Red Light_1:0143-0189,640,0.78,0,85,187.90,143.52,0
4,4T1_Raw_1-4_24h_7 - Red Light_1:0168-0212,743,1.10,0,85,212.59,167.06,0
5,4T1_Raw_1-4_24h_7 - Red Light_1:0210-0203,755,0.83,0,51,205.44,208.97,0
6,4T1_Raw_1-4_24h_7 - Red Light_1:0177-0263,861,4.97,0,85,264.19,177.93,0
7,4T1_Raw_1-4_24h_7 - Red Light_1:0158-0310,1044,4.76,0,85,309.47,158.65,0
8,4T1_Raw_1-4_24h_7 - Red Light_1:0083-0319,1080,6.66,0,85,317.99,83.77,0
9,4T1_Raw_1-4_24h_7 - Red Light_1:0050-0287,1137,6.97,0,85,287.67,50.17,0
10,4T1_Raw_1-4_24h_7 - Red Light_1:0041-0380,1180,6.55,0,85,380.35,40.39,0
11,4T1_Raw_1-4_24h_7 - Red Light_1:0330-0163,2285,0.11,0,41,163.19,328.89,0
12,4T1_Raw_1-4_24h_7 - Red Light_1:0391-0027,2663,0.14,0,30,27.27,386.90,0
13,4T1_Raw_1-4_24h_7 - Red Light_1:0383-0087,580,0.12,0,16,88.32,383.74,0
14,4T1_Raw_1-4_24h_7 - Red Light_1:0373-0114,427,0.15,0,17,114.09,372.99,0
15,4T1_Raw_1-4_24h_7 - Red Light_1:0405-0146,645,0.00,0,0,145.82,404.73,0
16,4T1_Raw_1-4_24h_7 - Red Light_1:0431-0113,610,0.60,0,41,112.80,430.96,0
17,4T1_Raw_1-4_24h_7 - Red Light_1:0469-0071,634,0.60,0,31,70.91,470.00,0
18,4T1_Raw_1-4_24h_7 - Red Light_1:0535-0131,976,0.54,0,27,131.41,536.46,0
19,4T1_Raw_1-4_24h_7 - Red Light_1:0602-0084,1749,0.97,0,40,84.68,602.11,0
20,4T1_Raw_1-4_24h_7 - Red Light_1:0632-0126,1972,0.54,0,50,127.32,634.20,0
21,4T1_Raw_1-4_24h_7 - Red Light_1:0663-0022,1174,0.95,0,39,22.36,662.47,0
22,4T1_Raw_1-4_24h_7 - Red Light_1:0830-0096,1007,1.98,0,61,95.98,830.40,0
23,4T1_Raw_1-4_24h_7 - Red Light_1:0818-0118,521,2.95,0,46,118.63,817.68,0
24,4T1_Raw_1-4_24h_7 - Red Light_1:0853-0075,421,3.01,0,34,74.49,853.00,0
25,4T1_Raw_1-4_24h_7 - Red Light_1:0874-0101,841,0.83,0,27,100.94,874.46,0
26,4T1_Raw_1-4_24h_7 - Red Light_1:0917-0055,2788,0.00,0,0,53.83,919.09,0
27,4T1_Raw_1-4_24h_7 - Red Light_1:0754-0216,1175,0.53,0,44,216.52,755.56,0
28,4T1_Raw_1-4_24h_7 - Red Light_1:0741-0249,847,0.50,0,35,247.43,739.40,0
