 ,Label,Area,Mean,Min,Max,X,Y,%Area
1,4T1_Raw_1-4_24h_7 - Red Light_1:0148-0118,3224,0.08,0,33,116.45,147.45,0
2,4T1_Raw_1-4_24h_7 - Red Light_1:0180-0449,5585,0.02,0,49,420.61,158.84,0
3,4T1_Raw_1-4_24h_7 - Red Light_1:0487-0109,1773,0.00,0,0,112.85,488.61,0
4,4T1_Raw_1-4_24h_7 - Red Light_1:0489-0204,1503,0.78,0,85,205.22,480.22,0
5,4T1_Raw_1-4_24h_7 - Red Light_1:0436-0215,1314,0.78,0,85,214.03,436.78,0
6,4T1_Raw_1-4_24h_7 - Red Light_1:0404-0222,661,0.07,0,30,218.20,406.10,0
7,4T1_Raw_1-4_24h_7 - Red Light_1:0365-0252,2565,1.93,0,54,254.44,366.56,0
8,4T1_Raw_1-4_24h_7 - Red Light_1:0570-0022,592,0.42,0,44,21.31,567.98,0
9,4T1_Raw_1-4_24h_7 - Red Light_1:0521-0430,8781,0.05,0,53,431.80,523.87,0
10,4T1_Raw_1-4_24h_7 - Red Light_1:0625-0637,902,4.435E-3,0,4,636.88,625.16,0
11,4T1_Raw_1-4_24h_7 - Red Light_1:0265-0783,3423,0.06,0,21,797.78,266.11,0
12,4T1_Raw_1-4_24h_7 - Red Light_1:0086-0585,2442,0.05,0,13,573.08,100.85,0
13,4T1_Raw_1-4_24h_7 - Red Light_1:0149-0986,1689,0.17,0,61,985.82,150.57,0
14,4T1_Raw_1-4_24h_7 - Red Light_1:0210-1002,1714,0.10,0,75,1002.61,211.28,0
15,4T1_Raw_1-4_24h_7 - Red Light_1:0043-1095,5613,0.06,0,85,1095.61,41.12,0
16,4T1_Raw_1-4_24h_7 - Red Light_1:0101-0972,1349,0.08,0,43,971.78,107.41,0
