 ,Label,Area,Mean,Min,Max,%Area
1,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0077-0464,2189,0.00,0,0,0
2,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0141-0458,5198,0.00,0,0,0
3,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0236-0428,3581,2.234E-3,0,5,0
4,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0158-0353,2465,4.057E-4,0,1,0
5,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0172-0266,1448,0.00,0,0,0
6,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0179-0237,1414,0.00,0,0,0
7,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0098-0139,2560,0.00,0,0,0
8,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0296-0227,1980,0.00,0,0,0
9,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0349-0249,2582,3.873E-4,0,1,0
10,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0295-0352,2814,0.01,0,9,0
11,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0236-0367,2673,0.00,0,0,0
12,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0160-0156,2927,0.00,0,0,0
13,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0526-0095,2752,0.00,0,0,0
14,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0465-0363,2181,0.00,0,0,0
15,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0485-0352,773,0.00,0,0,0
16,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0490-0502,1005,0.00,0,0,0
17,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0504-0664,4189,0.77,0,85,0
18,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0620-0445,3206,1.248E-3,0,4,0
19,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0623-0505,3739,0.00,0,0,0
20,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0575-0493,2736,0.60,0,26,0
21,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0535-0466,2543,0.00,0,0,0
22,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0540-0522,1758,6.826E-3,0,5,0
23,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0537-0238,7722,0.03,0,19,0
24,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0638-0332,3600,0.00,0,0,0
25,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0702-0389,5862,0.01,0,8,0
26,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0783-0345,5148,0.00,0,0,0
27,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0561-0890,3248,0.11,0,18,0
28,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0859-0612,6315,0.09,0,16,0
29,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0216-0771,6986,0.00,0,0,0
30,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0075-0976,5309,1.884E-4,0,1,0
31,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0101-1065,2671,0.00,0,0,0
32,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0089-1129,1205,0.00,0,0,0
33,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0245-1151,2438,0.00,0,0,0
34,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0156-1119,1156,0.00,0,0,0
35,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0299-1210,1521,0.00,0,0,0
36,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0342-1216,3150,0.03,0,85,0
37,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0455-1159,1283,0.00,0,0,0
38,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0438-1248,1436,0.00,0,0,0
39,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0352-1245,1610,0.00,0,0,0
40,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0474-1085,3231,0.23,0,19,0
41,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0763-1062,2246,0.00,0,0,0
42,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0896-1164,3710,0.01,0,6,0
43,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0811-1201,1574,0.00,0,0,0
44,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0909-1204,1876,0.00,0,0,0
