 ,Label,Area,Mean,Min,Max,%Area
1,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0452-0847,2679,0.04,0,22,0
2,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0267-0919,4227,0.04,0,13,0
3,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0194-1167,3383,0.88,0,31,0
4,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0355-0374,2938,0.51,0,34,0
5,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0294-0504,2411,0.55,0,35,0
6,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0237-0310,5248,9.61,0,85,0
7,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0246-0172,3010,1.01,0,85,0
8,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0127-0218,1588,0.01,0,6,0
9,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0200-0106,2329,1.92,0,85,0
10,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0139-0086,1606,0.17,0,48,0
11,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0105-0063,1015,0.41,0,18,0
12,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0468-0141,3491,0.05,0,14,0
13,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0652-0191,2262,0.01,0,9,0
14,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0550-0566,3309,1.87,0,85,0
15,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0427-0621,1322,0.07,0,10,0
16,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0440-0686,2034,5.900E-3,0,2,0
17,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0341-0724,4853,1.030E-3,0,2,0
18,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0397-0889,3769,0.16,0,19,0
19,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0443-0970,2539,0.00,0,0,0
20,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0249-1029,4400,0.50,0,21,0
21,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0238-1069,3605,4.63,0,43,0
22,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0379-1103,2091,4.782E-4,0,1,0
23,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0857-0348,3502,7.20,0,55,0
24,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0734-0496,1519,0.15,0,18,0
25,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0738-0542,1655,0.09,0,13,0
26,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0675-0574,2239,2.15,0,85,0
27,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0614-0573,1329,0.00,0,0,0
28,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0608-0617,1647,0.72,0,85,0
29,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0747-0751,1223,9.812E-3,0,12,0
30,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0568-0982,4156,7.459E-3,0,8,0
31,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0213-1230,3265,1.18,0,34,0
32,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0300-1154,1385,0.00,0,0,0
33,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0818-1106,4591,1.67,0,59,0
34,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0837-1150,2118,0.04,0,10,0
35,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0873-0996,5236,0.01,0,18,0
36,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0902-0841,2731,0.00,0,0,0
37,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0891-0913,2047,9.770E-4,0,2,0
38,Raw_4T1_2-1_0h_07 - Red Light_1.tif:0853-0853,2339,0.00,0,0,0
