 ,Label,Area,Mean,Min,Max,X,Y,%Area
1,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0066-0481,1977,0.23,0,16,477.61,57.45,0
2,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0020-0519,1471,2.21,0,41,517.93,21.76,0
3,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0097-0650,1493,0.93,0,38,650.66,97.81,0
4,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0063-0613,1453,1.96,0,56,614.74,64.72,0
5,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0033-0580,1231,1.52,0,30,579.51,34.07,0
6,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0500-0480,1253,0.25,0,65,482.87,497.43,0
7,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0467-0151,1287,5.58,0,58,152.66,469.34,0
8,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0505-0090,3321,2.65,0,33,90.59,504.56,0
9,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0570-0164,2490,0.08,0,23,166.26,570.21,0
10,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0077-0684,512,0.63,0,20,685.31,76.65,0
11,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0045-0912,980,1.87,0,37,912.93,48.00,0
12,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0088-0939,949,2.49,0,40,938.90,90.28,0
13,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0592-0632,3786,0.30,0,29,643.41,612.55,0
14,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0090-1015,2143,1.32,0,85,1014.03,89.26,0
15,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0048-1050,818,0.58,0,79,1049.73,48.66,0
16,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0088-1111,1626,8.08,0,85,1112.96,88.58,0
17,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0052-1168,2330,3.13,0,50,1171.28,53.53,0
18,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0117-1199,857,0.55,0,28,1198.73,116.58,0
19,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0137-1132,1307,1.42,0,33,1130.19,138.62,0
20,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0163-1117,1962,1.37,0,36,1114.94,164.19,0
21,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0341-1163,543,1.43,0,28,1162.19,341.47,0
22,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0329-1183,626,0.59,0,38,1186.18,328.69,0
23,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0762-1189,602,0.33,0,24,1191.07,762.56,0
24,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0778-1228,1397,0.08,0,20,1225.95,779.05,0
25,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0394-1076,5051,0.01,0,10,1070.79,401.84,0
26,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0466-1154,3113,3.855E-3,0,12,1151.70,456.67,0
