 ,Label,Area,Mean,Min,Max,X,Y,%Area
57,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0550-0366,1129,1.60,0,71,368.32,548.35,0
58,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0508-0427,1251,1.21,0,85,428.22,509.31,0
59,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0423-0527,1447,12.09,0,85,530.37,420.56,0
60,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0429-0584,1734,6.47,0,85,584.54,429.93,0
61,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0450-0645,1463,2.02,0,32,645.10,454.07,0
62,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0338-0823,2108,17.25,0,85,822.89,337.80,0
63,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0380-0863,2286,3.91,0,48,855.91,380.28,0
64,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0385-0810,899,3.75,0,45,809.79,385.58,0
65,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0494-0760,556,5.44,0,50,760.44,493.76,0
66,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0500-0817,1262,5.26,0,51,818.69,495.24,0
67,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0537-0864,1245,2.00,0,40,864.31,536.54,0
68,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0453-0907,2166,3.66,0,41,906.30,453.44,0
69,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0755-0280,1072,6.64,0,85,279.86,755.23,0
70,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0775-0147,934,5.82,0,85,145.87,775.58,0
71,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0810-0104,1203,14.58,0,85,102.78,812.28,0
72,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0811-0170,1226,9.35,0,59,169.35,811.89,0
73,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0874-0121,1364,6.12,0,55,121.13,874.04,0
74,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0811-0218,650,1.66,0,32,218.40,812.01,0
75,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0786-0232,709,0.92,0,43,232.56,786.56,0
76,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0552-0425,1148,4.11,0,85,425.42,548.92,0
77,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0554-0460,864,1.10,0,85,460.82,554.33,0
78,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0588-0426,797,3.36,0,74,429.47,583.76,0
79,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0597-0464,1158,2.09,0,85,459.06,597.12,0
80,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0575-0485,839,2.15,0,85,486.62,578.68,0
81,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0508-0556,2186,6.37,0,85,556.94,508.89,0
82,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0583-0587,2083,12.00,0,85,587.13,584.11,0
83,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0731-0457,1065,4.71,0,50,459.56,730.15,0
84,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0526-0749,940,7.36,0,85,748.99,526.95,0
85,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0639-0736,890,8.12,0,71,736.65,639.28,0
86,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0667-0803,1899,5.19,0,57,807.95,665.39,0
87,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0839-0624,4037,5.76,0,67,634.75,835.47,0
88,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0900-0170,1287,2.21,0,38,169.97,900.23,0
89,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0829-0484,2003,7.03,0,85,485.85,829.09,0
90,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0766-0464,1156,6.31,0,85,464.31,766.80,0
91,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0799-0448,1221,6.81,0,71,446.74,799.62,0
92,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0746-0836,1925,16.05,0,82,835.83,748.77,0
93,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0598-0888,1211,5.75,0,48,890.25,596.55,0
94,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0603-0931,977,10.32,0,51,931.15,602.82,0
95,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0522-0921,1259,4.47,0,79,922.92,523.15,0
96,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0429-0846,1177,1.74,0,58,846.54,429.22,0
97,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0687-0719,2838,0.89,0,30,723.61,688.32,0
98,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0902-0678,1248,2.05,0,35,679.07,903.57,0
99,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0584-0838,2079,9.30,0,84,838.31,584.30,0
100,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0353-0922,582,2.17,0,30,922.39,352.94,0
101,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0355-0952,1536,9.73,0,85,951.24,352.58,0
102,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0443-0988,975,5.60,0,40,989.04,443.85,0
103,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0466-1032,603,1.06,0,23,1032.00,467.17,0
104,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0598-1113,1428,5.73,0,84,1113.24,599.04,0
105,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0656-1082,1553,10.90,0,85,1081.21,654.79,0
106,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0722-0960,1747,3.62,0,40,959.60,723.08,0
107,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0774-0964,1087,2.12,0,44,964.15,775.18,0
108,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0708-1096,1238,4.54,0,85,1096.11,709.18,0
109,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0694-1142,1915,5.71,0,84,1142.64,693.65,0
110,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0404-1220,1519,8.65,0,62,1220.25,404.26,0
111,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0279-1078,1557,6.23,0,50,1079.12,288.17,0
112,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0905-0514,1538,2.82,0,39,514.78,905.30,0
113,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0879-0919,1762,3.02,0,48,916.51,887.55,0
114,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0888-1038,1422,9.01,0,61,1037.59,889.19,0
115,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0820-1005,1507,3.54,0,42,1008.14,821.38,0
116,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0762-1069,2341,6.55,0,85,1076.76,760.74,0
117,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0741-1131,1016,20.18,0,85,1135.31,738.72,0
118,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0761-1157,943,3.89,0,44,1159.10,763.83,0
119,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0826-1156,1895,2.41,0,50,1155.19,826.91,0
120,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0870-1234,1062,2.31,0,32,1234.81,868.55,0
121,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0142-0983,1230,4.40,0,43,982.91,141.57,0
122,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0176-0998,575,6.90,0,40,998.32,175.92,0
123,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0209-1013,1064,16.54,0,85,1013.41,208.46,0
124,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0249-1026,1582,5.33,0,50,1025.71,250.65,0
125,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0243-1085,1611,15.62,0,85,1087.28,242.12,0
126,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0246-1176,1153,1.06,0,30,1176.79,247.27,0
127,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0221-1199,815,2.72,0,64,1198.68,221.59,0
128,4T1_Raw_1-4_24h_10 - Red Light_1.tif:0850-0767,7960,3.17,0,50,769.07,845.14,0
